determinedly	断固として
calamitous	災難を伴う|不幸な|災難の多い|いたましい
stripy	筋(しま)のある
shantytown	a city district inhabited by people living in huts and shanties
workmanlike	職人らしい|腕利きの|腕のいい
sacrilegious	神聖を汚す|神聖冒涜の|罰当たりの
fatuous	(ひとりよがりで)愚かな|無意味な|まぬけの|頭がからっぽの|愚鈍な|ばかの|低能の
bewray	示す|垣間見せる
elocution	演説法|(特に公の場での)優れた話術
saccharum	tall perennial reedlike grass originally of southeastern Asia: sugarcane
trolleybus	トロリーバス
nondenominational	not restricted to a particular religious denomination; "a nondenominational church"|not restricted to a particular religious denomination
undergarment	下着
suborbital	(人工衛星などが)軌道をはずれた|軌道に乗らない　眼窩下軟骨
schwa	あいまい母音|シュワー(əで示される弱母音)|あいまい母音の発音記号
homogenate	ホモジネート|細胞小器官や構成要素や化学的組成を調べるため機械的に細胞破砕し|生体内の状態のまま均一な分画を得る手法(細胞分画法)
palliation	(罪などの)弁解|取りつくろうこと|(病気などの)一時的な抑え
overreach	打ち負かすこと|克服すること|行き過ぎる|無理をする|人をだます|追いつく|広がる|及ぶ|達する
misanthropy	(mɪsˈænθrəpi)人間嫌い|厭世|人間不信|(反)altruism(利他主義|博愛主義)|philanthropy博愛(主義)|慈善
hoagie	爆撃機
extemporaneous	(演説・演技などが)即席の
renovator	a skilled worker who is employed to restore or refinish buildings or antique furniture
behead	(刑罰として人の)首を切る
incompetency	不行き届き|不行届き|菲才|不才|不器量|不能|不適任|能無し|無能さ|非才
irregardless	regardless; a combination of irrespective and regardless sometimes used humorously|regardless|a combination of irrespective and regardless sometimes used humorously
homunculus	マネキン|ホムンクルス|ホムンクルス
chambermaid	(ホテル・モーテルの)部屋係メイド
undigested	消化されない
perfidious	不誠実な|裏切りの|背信の
farsightedness	遠視
umbrage	不快
bicentenary	=bicentennial
introversion	内向;内向性
isotropy	等方性
portmanteau	(UK英)旅行かばん
porterage	運搬人(赤帽)の仕事|運搬料|運び賃
moralist	道徳主義者|道徳家
natatorium	スイミングプール|プール|スウィミングプール
haycock	(畑のあちこちに作った円すい状の)干し草の小山
distinctness	明瞭
widgeon	ヒドリガモ
expiation	〈U〉(罪などの)償い|埋め合わせ|〈C〉(罪などの)償いとなること|償いの手段
ornithologist	鳥(類)学者
azurite	藍銅鉱
micmac	ミクマク語|(カナダの大西洋岸地域に住むアルゴンキン語族の言語)
quasiparticle	準粒子
maunder	だらだら(とりとめなく)話す|ぶらつく
alehouse	=public house
spelunk	explore natural caves
pocketful	《a~》ポケット一杯(の〜)《+『of』+『名』》|たくさん(の〜)《+『of』+『名』》
practicability	実行できること|実用性
transcriptionally	転写
bluenose	清教従的な人|禁欲的な人
dreamily	夢のように|うとうとと
gibbet	晒す|曝す
exactitude	几帳面|厳正|厳密さ|正確さ|精密さ|精密度
antiparallel	逆平行
pelargonium	ペラルゴニウム
syndromic	症候群の
myristate	ミリスチン酸エステル|ミリスチン酸(化合物名)
uremia	尿毒症
cachexia	カヘキシー|悪液質
semisweet	苦甘い|うそ甘い|甘苦い|薄甘い
unverifiable	(of e.g. evidence) not objective or easily verified
dromedary	ヒトコブラクダ|(=Arabian camel)|背中のこぶはhump
rootless	根のない|社会的足場のない
inviolate	(約束などが)破られていない|(場所が)汚されていない
cleanable	capable of being cleaned
nasopharynx	上咽頭
zoroaster	ゾロアスター
obsolescent	すたれかかった
militarist	軍国主義者
skywalk	an elevated walkway between buildings (usually enclosed)
cairngorm	黒水晶
pawl	(歯車の)歯止め|つめ
etodolac	a nonsteroidal anti-inflammatory drug (trade name Lodine)
discrepant	不一致|矛盾
anole	small arboreal tropical American insectivorous lizards with the ability to change skin color
tetrahydrocannabinol	テトラヒドロカンナビノール
novelization	ノベライゼーション
anomie	アノミー
reticulocyte	an immature red blood cell containing a network of filaments or granules
overeat	食べすぎる
pectoralis	胸筋
polycythemia	赤血球増加|多血症
lordly	君主にふさわしい|堂々とした|立派な|横柄な|君主らしい|堂々と
sympathomimetic	交感神経模倣薬
dolorosa	ヴィア･ドロローサ(ラテン語Via Dolorosa「苦難の道」の意)|新約聖書によるイエスの最後の歩みのこと|ヴィア･クルキス(via cruces十字架の道)とも呼ばれる
assiduous	勤勉な|根気強い
dredger	浚渫(しゅんせつ)人夫|=dredge
stokowski	レオポルド・ストコフスキー
putrescine	プトレッシン|プトレシン
hemostatic	止血性
thenceforth	それ以後ずっと|その時以来
neologism	新語|新造語|新表現
oophorectomy	卵巣切除|卵巣摘出
giblet	鳥モツ
frappe	フラッペ|フラッペ|フラッペ|アイス|氷
worryingly	in a manner to cause worry
nonbank	ノンバンク|銀行ではない金融機関
stogy	a cheap cigar
hypokalemia	低カリウム血症
delist	上場廃止にする
ballpen	a pen that has a small metal ball as the point of transfer of ink to paper
portentous	もったいぶった|縁起の悪い|前兆の
conjurer	手品遣い|奇術師|手妻使い|手妻遣い|手妻使|魔術師|手品師|マジシャン|手妻遣|神がかり
ilx	being nine more than fifty
steelworks	製鋼所
toller	a person who rings church bells (as for summoning the congregation)|someone employed to collect tolls
ptosis	眼瞼下垂
unbend	まっすぐにする|(心を)休める|くつろぐ
algerie	a republic in northwestern Africa on the Mediterranean Sea with a population that is predominantly Sunni Muslim; colonized by France in the 19th century but gained autonomy in the early 1960s|a republic in northwestern Africa on the Mediterranean Sea with a population that is predominantly Sunni Muslim|colonized by France in the 19th century but gained autonomy in the early 1960s
drowning	溺死
novocaine	procaine administered as a hydrochloride (trade name Novocain)
papoose	北米インディアンの赤ん坊|赤ん坊を背負う袋
disgorgement	吐瀉|吐出|嘔吐|反吐
vespucci	ベスプッチ
destabilise	不安定化|不安定化
cordite	コルダイト
criminological	of or relating to or involved in criminology
fireweed	焼け跡の雑草
oilcloth	油布
grus	クレイン
canonically	in a canonical manner; "the deacon was canonically inducted"|in a canonical manner
steelmaker	a worker engaged in making steel
chromite	クロム鉄鉱
boehme	ベーム
wildtype	野生型(遺伝形質の種類)
synchronic	同期的|シンクロニック|シンクロニック|シンクロニック
pinta	1パイント(ヤード･ポンド法)の飲み物|1パイント=約473cc=8分の1ガロン　2|ピンタ島(ガラパゴス諸島)
venal	金で動かされる|買収できる|腐敗した
orthology	異種間の遺伝子が共通の祖先に由来する場合|オーソロガス(相同)という|外見や機能は似ているが|共通の祖先に由来しない相似(analogous)の対義語
corrugation	〈U〉波形にすること;波形のついた状態|うね状|〈C〉(波形を構成する)うね|溝|しわ
unsent	not dispatched or transmitted; "the letter remained unwritten and unsent"|not dispatched or transmitted
kibitzer	(特にカードゲーム)の見物人;おせっかい屋
astronomically	enormously; "the bill was astronomically high"|enormously
wearisome	退屈な|疲れさせる
apologetically	わびて|謝って|済まなそうに
clime	地方|国土(from northern climes|北の国から)|気候|(clime地方･気候|crime犯罪)
triskele	三脚巴
blowhard	《米話》ほら吹き
sociality	社交性|社会性
absurdist	不条理主義の|不条理主義者(作家)
accusatory	告訴の|非難の|非難めいた
licit	合法の
constitutionalist	an advocate of constitutional government
bipartisanship	2党主義
bogy	おばけ|幽霊|人の悩ますもの|人につきまとうもの
electroencephalogram	脳電気図|脳波図
wrongness	不正行為
untraceable	消息不明
risch	スタイリッシュ
sublethal	致死量以下|亜致死の|亜致死性
inclinometer	傾斜計|伏角計|傾斜計|クリノメーター
mating	交配
abstinent	節度のある|禁欲的な|禁酒の
cumulate	山積み|溜る|積みかさなる|積み重なる|集積|蓄積|集まる|積みあがる|溜まる|堆積
empyrean	最高天(古代天文学で五天のうちで最高の天上界)|天空|大空|最高天の;天空の
unsex	〜‘を'性的能力を奪う|〈特に女性〉‘を'女らしくなくする
prettily	きれいに
disgustingly	in a disgusting manner or to a disgusting degree; "the beggar was disgustingly filthy"|in a disgusting manner or to a disgusting degree
phytochemistry	the branch of organic chemistry dealing with the chemistry of plants
innovativeness	革新
numberplate	ナンバープレート
transpacific	太平洋横断の|太平洋の向こう岸の
commercialise	売り物にする
lapdog	小さな愛玩犬|吠え声ばかり大きい無力な人|盲信者|心酔者
wunderkind	神童|天才児|(実業界での若手)成功者
piperazine	ピペラジン
protuberance	隆起
mudcat	ナマズ
gassy	ガスが充満した;ガスを含む|ガス状(質)の
frizzle	[髪]‘を'ちぢらせる|カールにする《+『up』+『名』》|ちぢれる|(髪などの)ちぢれ|ちぢれ髪
sext	六度
epistolary	書簡(形式)の|書簡体の
blear	(涙などで)目がかすんだ|曇った(blurred)|(涙などで)〈目・視力〉'を'かすませる(blur)
cornea	角膜
dodder	よぼよぼになる|(老齢などのために)よろよろと歩く
fastidiosa	Xylella fastidiosa|ぶどうのピアース病(PD)を引き起こす細菌|ヨコバイが媒介し北米で広く蔓延|ナパバレーに大きな損失を与えている
shading	陰にすること|陰影法|わずかな変化(相違)
cornhusker	a worker who husks corn|a native or resident of Nebraska
neap	小潮(こしお)(潮の干満の差が最小の日)
historicism	歴史主義
otology	the branch of medicine concerned with the ear
misleadingly	欺いて
dudgeon	立腹
linearize	直線化
ranier	a mountain peak in central Washington; highest peak in the Cascade Range; (14,410 feet high)|a mountain peak in central Washington|highest peak in the Cascade Range
frivol	横着
fulminant	sudden and severe; "fulminant pain"; "fulminant fever"|sudden and severe
unwisely	へらへら|ばかのように
sexless	男女の別のない|性的魅力のない|セックスレス
strop	(かみそりをとぐ)皮砥|〈かみそり〉‘を'皮砥でとぐ
horsefly	ウマバエ|ウシアブ|虻(あぶ)|(=gadfly)
reignite	ignite anew, as of something burning; "The strong winds reignited the cooling embers"|ignite anew, as of something burning
lateran	the site in Rome containing the church of Rome and the Lateran Palace
superintend	〈仕事・人・組織など〉‘を'監督する|指揮する|管理する
invigilator	婦長
tartaric	酒石の
sente	100 lisente equal 1 loti in Lesotho; one sente is worth one-hundredth of a loti|100 lisente equal 1 loti in Lesotho|one sente is worth one-hundredth of a loti
airheaded	浅墓|滅多|浅はか|軽躁
plenitude	豊富|十分
rosebush	バラの木(茂み)
intersperse	散らばせる|まき散らす|蒔き散らす
unpardonable	not admitting of pardon; "unpardonable behavior"|not admitting of pardon
lofoten	ローフォテン諸島
griseofulvin	グリセオフルビン
premedical	医学部進学課程の
scurrilous	(言葉づかいの)下品な|野卑な
uncannily	不思議なほど
pyromania	放火癖
compellingly	強制的に|やむにやまれず
floorboard	床板
ethnographer	民族誌学者
fluphenazine	フルフェナジン
conferral	授与
foreland	崎|岬|地嘴|埼|岬角|碕
anele	administer an oil or ointment to ; often in a religious ceremony of blessing|administer an oil or ointment to|often in a religious ceremony of blessing
phlebitis	静脈炎
baronetage	the collective body of baronets|the state of a baronet
pinna	(動)羽|翼|ひれ|ひれ足(flipper)|耳殻|耳介(auricle|耳穴の周りにある音を集める構造)|(植)(シダの葉など複葉の)羽片
thromboplastin	トロンボプラスチン|トロンボキナーゼ
