poorhouse	(昔の)救貧院
decisiveness	勇決
nationalize	国有(国営)にする
blenny	small usually scaleless fishes with comb-like teeth living about rocky shores; are territorial and live in holes between rocks|small usually scaleless fishes with comb-like teeth living about rocky shores|are territorial and live in holes between rocks
photic	of or relating to or caused by light
folksong	民謡|フォークソング|民謡調の歌
lifejacket	救命胴着
inflectional	語形変化する|屈折の
slaver	よだれを流す|奴隷売買者
succinic	of or relating to or obtained from amber
cyanobacterial	藍色細菌の
umpteen	非常に多くの
disrobe	衣服を脱ぐ
tingly	ゾクゾクする|ヒリヒリする
tellingly	in a telling manner; "the plain manner of its style all the more tellingly points up the horror of the case"|in a telling manner
stoner	an attacker who pelts the victim with stones (especially with intent to kill)
octogenarian	80歳(代)の
nefazodone	ネファゾドン
abiogenesis	自然発生説|自然発生
euonymus	widely distributed chiefly evergreen shrubs or small trees or vines
superego	超自我|super-ego
improbability	ありそうもないこと|本当らしくないこと
shrewdly	抜け目なく|利口に
provocatively	in a provocative manner; "`Try it,' he said provocatively"|in a provocative manner
lathyrus	レンリソウ属
epilog	エピローグ
vocationally	職業的|職業上
proventil	アルブテロール
meed	相応(当然の)報酬|正当な報い
waggle	揺れる|振れ|揺れ動く|を振る|揺する|振れる
undrained	非排水
impish	茶目な|鬼の|腕白な|ちゃめな
seneschal	(中世の王族・貴族の)執事|家令
nonpolar	非イオン
tetrodotoxin	テトロドトキシン
ergotamine	エルゴタミン
descant	(定旋律につく)随唱|随奏|随唱(奏)する|《文》(〜について)長々と(詳しく)述べる《+『on』(『upon』)+『名』》
affenpinscher	アーフェンピンシャー
mintage	〈U〉化幣鋳造|《集合的に》鋳造された貨幣|〈U〉貨幣鋳造費|〈C〉貨幣の極印(品質証明のために押す)
dysthymia	気分変調
bushwhack	〜'を'やぶにひそんで襲う|森林地を切り開く
dejection	落胆
kiang	wild ass of Tibet and Mongolia
psychogenic	心因性の(精神・心理作用から生じる)
distractor	気を散らすもの|誤った選択肢.
umma	ウンマ
tattler	おしゃべりな人;他に秘密をもらす人
ritually	in a ceremonial manner; "he was ceremonially sworn in as President"|in a ceremonial manner
greenside	adjacent to a putting green; "greenside bunker"|adjacent to a putting green
nitwit	まぬけ
prophetess	(女性の)預言者|予言者
meninx	髄膜
ghrelin	グレリン|胃から産生されるペプチドホルモン|成長ホルモン(GH)分泌を促進し|食欲を増進させる働きを持つ
carbonize	炭化|炭化
distension	膨張
pneumococcus	肺炎球菌
funereal	葬式の|しめやかな|悲しい|陰うつな
mealybug	scalelike plant-eating insect coated with a powdery waxy secretion; destructive especially of fruit trees|scalelike plant-eating insect coated with a powdery waxy secretion|destructive especially of fruit trees
ileostomy	surgical procedure that creates an opening from the ileum through the abdominal wall to function as an anus; performed in cases of cancer of the colon or ulcerative colitis|surgical procedure that creates an opening from the ileum through the abdominal wall to function as an anus|performed in cases of cancer of the colon or ulcerative colitis
humorless	ユーモアのない
hotcake	ホットケーキ
paresthesia	abnormal skin sensations (as tingling or tickling or itching or burning) usually associated with peripheral nerve damage
demesne	(封建領主・貴族などの)私有地|領地
briny	海|大洋|塩辛い|塩水の|海の|涙の
nimbly	すばやく
gossypium	ワタ
ludicrously	ばかばかしいほどに|ばかばかしいほど|ばかみたいに|ばかげて
autogenous	originating within the body
holoenzyme	ホロ酵素|(酵素本体となるタンパク質分子に|非タンパク質性の分子が結合して初めて酵素として機能するものを呼ぶ)
bloodstained	血痕のついた
unfix	〜‘を'はずす|緩める|〈心・気持ち〉‘を'ぐらつかせる
hytrin	テラゾシン
clansman	氏族の一員;同氏族の人
miconazole	ミコナゾール
gunwale	舷(げん)の上縁|船べり
dermatomyositis	皮膚筋炎
catchup	ケチャップ|ketchup
chicanery	ずるい言い抜け|ごまかし
counterspin	反回転
disastrously	悲惨に
upend	を逆さまに置く(立てる)|ノックダウンする|負かす
turnstone	キョウジョシギ
enterocolitica	Yersinia enterocolitica|(食中毒原因菌)エンテロコリチカ菌|(エルシニア･エンテロコリチカ)
hematoxylin	ヘマトキシリン|アカミノキの心材から抽出される染料|媒染剤により色調が異なり青白色や青黒色となる
formamide	ホルムアミドはギ酸から誘導されるアミド|サルファ薬の製造やビタミンの合成|紙や繊維の柔軟剤に使われる
acquisitive	欲ばりの|欲深い
boffin	科学者
dago	《軽べつして》スペイン(ポルトガル|イタリア)系の人
pressgang	水兵強制徴募隊(18世紀に英国海軍が兵集めに組織した)|《話》(部隊などへ)〜‘を'強制編入させる《+『名』+『into』+『名』》
laburnum	キングサリ(マメ科キングサリ属の有毒な小さい木)
heterodox	異端の
manque	unfulfilled or frustrated in realizing an ambition
accommodative	協調的|調和的
daikon	ダイコン
codfish	鱈|タラ|タラ
outwear	〜‘より'長もちする|〜‘を'着古す|使い尽くす
doublespeak	ダブルスピーク
cagey	抜け目のない
swaddle	赤子を産着(細長い布)でくるむ|(to swaddle a baby)
debility	(病気による)衰弱
magnifico	a person of distinguished rank or appearance
copulate	交尾する
depressor	any skeletal muscle that draws a body part down|any nerve whose activity tends to reduce the activity or tone of the body part it serves|a device used by physician to press a part down or aside
proprioceptive	of or relating to proprioception
disenfranchise	(個人から)公民権(選挙権･公職権)を奪う
gastrostomy	surgical creation of an opening through the abdominal wall into the stomach (as for gastrogavage)
tackler	a football player who tackles the ball carrier
tromp	殴る|ぶちのめす|完敗させる|打つ
archaeon	archaea(古細菌)の単数形
dully	不活発に
mammalogy	the branch of zoology that studies mammals
seethe	沸騰する|泡立つ|腹をたてる
shorthorn	ショートホーン(短い角を持った英国原産の肉牛)
atopy	アトピー
asphodel	アスフォデル(白・ピンクまたは黄色の花をつけるユリ科の植物)
minutia	(〜の)細目|詳細|ささいなこと《+『of』+『名』》
compassionately	in a compassionate manner; "the nurse looked at him pityingly"|in a compassionate manner
hussar	(はでな姿の)軽騎兵
scow	大型平底船
copyist	写字生|筆耕|謄写人|模倣者
biographic	of or relating to or being biography; "biographical data"|of or relating to or being biography
depredation	[通例複数形で] 略奪行為|破壊
itemization	箇条書き
espadrille	エスパドリーユ(キャンバス地で底の平らなサンダル)
insignia	記章|勲章|バッジ|しるし
bootlegger	(コンピューターソフトウェアなどの)違法コピー業者
satiate	=sate
ruanda	ルワンダ
phasic	相の
lumberman	材木切り出し人;材木商
sanitarian	[公衆]衛生の|公衆衛生学者
remorseful	後悔している
admonishment	=admonition
traditionalism	(宗教上の)伝統尊重主義
obstinately	飽くまで|頑として|飽く迄
straightness	善意|誠意|実|異性愛
midplane	正中線
crosslink	架橋
aggrandizement	大きく見せること|誇張すること
explainable	説明できる;弁明しうる
groupthink	集団思考
impermanent	永続しない|一時的な
unpopularity	不人気|不評判
donkin	ドンキン
ragamuffin	ぼろを着た子供(人)
paraformaldehyde	パラホルムアルデヒド|パラホルムともいう|ホルムアルデヒドの重合体
disgorge	吐き出す
unfree	held in servitude; "he was born of slave parents"|held in servitude|hampered and not free; not able to act at will|hampered and not free|not able to act at will
chiropody	podiatry
roughshod	(馬が)滑り止めのてい鉄を付けた
loner	一人で居たい人|孤独が好きな人
heterodyne	of or relating to the beat produced by heterodyning two oscillations|combine (a radio frequency wave) with a locally generated wave of a different frequency so as to produce a new frequency equal to the sum or the difference between the two
beanery	安い二流のレストラン
oncologic	of or relating to or practicing oncology; "oncological nurse"|of or relating to or practicing oncology
