clientele,顧客層
expend,費やす
circumstantial,状況に基づく
abnormally,異常に
manipulative,操作的な
infirmity,虚弱
eccentricity,風変わりさ
complimentary,無料の|称賛の
principled,原則的な
apologetically,謝罪して
idealist,理想主義者
strangeness,奇妙さ
stamina,持久力
undefined,未定義の
taint,汚す
youngster,若者
succinctly,簡潔に
disentangle,解きほぐす
proximate,近接した
lyrical,叙情的な
nimble,敏捷な
hemorrhagic,出血性の
assort,分類する
twig,小枝
spectrometer,分光計
epidermis,表皮
mesenchymal,間葉の
pessimism,悲観主義
sugarcane,サトウキビ
communicator,伝達者
ruse,策略
reformer,改革者
inculcate,教え込む
deluge,洪水
flagship,旗艦
carbide,炭化物
gravitate,引き寄せられる
caramel,カラメル
feral,野生化した
alcove,床の間|隠れ部屋
astral,星の
polypeptide,ポリペプチド
privation,欠乏
waistband,ウエストバンド
refraction,屈折
engulf,飲み込む
scum,浮きかす
detract,損なう
despotism,専制政治
frigid,極寒の
chopper,ヘリコプター|包丁
swig,ぐいっと飲む
kayak,カヤック
kidnap,誘拐する
invisibility,不可視性
truss,トラス|支持帯
contemporaneous,同時代の
muslin,薄手の綿布
grumble,不平を言う
mercantile,商業の
gaiety,陽気さ
glucocorticoid,糖質コルチコイド
veneration,尊敬
biologic,生物学的な
untimely,時期尚早の
soundtrack,サウンドトラック
programmatic,計画的な
bootstrap,自力で立ち上がる
complementarity,補完性
degenerative,変性の
spillover,波及
laborer,労働者
mythic,神話の
stealth,隠密
busily,忙しく
sweatshirt,スウェットシャツ
pancreatitis,膵炎
alms,施し
acquiescence,黙認
practicality,実用性
circulatory,循環の
analyzer,分析装置
seep,染み出る
monotony,単調さ
emissary,使節
temporally,時間的に
wallpaper,壁紙
philosophically,哲学的に
atherosclerosis,動脈硬化
fearfully,おそるおそる
subaltern,下位の
pageant,仮装行列
linearity,線形性
divisive,分裂を招く
anastomosis,吻合
transferable,譲渡可能な
permeable,浸透性のある
polyester,ポリエステル
carnage,大虐殺
meteor,流星
defiantly,反抗的に
cerebellar,小脳の
incubator,孵卵器
ramble,ぶらぶら歩く
unsustainable,持続不可能な
paycheck,給与小切手
connexion,接続［connectionの変形］
insolent,生意気な
rotary,回転の
allege,主張する
yelp,悲鳴
libertarian,自由主義者
tibia,脛骨
vigil,徹夜
undertone,潜在的意味
wanderer,放浪者
fleece,羊毛
bestselling,ベストセラーの
barbaric,野蛮な
geologist,地質学者
gruff,ぶっきらぼうな
laryngeal,喉頭の
tenancy,賃貸期間
atheism,無神論
pellet,小球
denim,デニム
lilac,ライラック
separable,分離可能な
khaki,カーキ色
abominable,忌まわしい
abreast,並んで
whey,ホエー（乳清）
limo,リムジン
larynx,喉頭
wherefore,なぜ
cusp,頂点
opacity,不透明度
jockey,騎手
phalanx,密集隊形
stupor,昏迷
contralateral,反対側の
parapet,胸壁
reindeer,トナカイ
tenacity,粘り強さ
analytically,分析的に
dishonor,不名誉
adapter,アダプター
oncology,腫瘍学
aggressor,攻撃者
knack,コツ
phobia,恐怖症
cryptic,謎めいた
chronicler,年代記作者
pyrolysis,熱分解
coauthor,共著者
odious,嫌悪すべき
pandemic,世界的流行病
potter,陶芸家
opera,オペラ
undated,日付のない
faraway,遠く離れた
enumeration,列挙
brevity,簡潔さ
tangential,接線の|脱線的な
recycle,リサイクルする
lifecycle,ライフサイクル
dynamism,活力
fallout,放射性降下物|余波
sucrose,ショ糖
layman,素人
solicitation,勧誘
impinge,影響を及ぼす
schoolmaster,教師
churn,攪拌する
insatiable,満足しない
brunette,褐色の髪の人
entreat,懇願する
psoriasis,乾癬
savour,味わう
hemp,麻
improperly,不適切に
heady,酔わせるような
adjustable,調整可能な
tablecloth,テーブルクロス
stirrup,あぶみ
chime,チャイム
hangar,格納庫
sh,静かに
admirer,崇拝者
amply,十分に
intergovernmental,政府間の
challenger,挑戦者
cassette,カセット
strategist,戦略家
algal,藻類の
cistern,貯水槽
apocalypse,黙示録
refocus,再集中する
winery,ワイナリー
alchemy,錬金術
priestess,女祭司
guardianship,後見
satchel,ショルダーバッグ
cytochrome,シトクロム
pomegranate,ザクロ
nonstop,ノンストップの
dampen,湿らせる
badger,アナグマ
boulevard,大通り
snore,いびき
plasmid,プラスミド
unqualified,無資格の
millet,粟
domino,ドミノ
criminology,犯罪学
exalt,高める
supersede,取って代わる
northwestern,北西の
thereon,それについて
yearn,切望する
attenuate,弱める
counterproductive,逆効果の
deftly,巧みに
absorber,吸収体
impotent,無力な
lug,引きずる
pallor,青白さ
nakedness,裸
flake,薄片
tiresome,退屈な
barrister,弁護士（英）
rove,さまよう
transduction,伝達
insulator,絶縁体
viciously,残酷に
cosmological,宇宙論の
wallow,泥浴びする
toolbox,道具箱
naturalism,自然主義
acrylic,アクリル
foray,襲撃
adenosine,アデノシン
weekday,平日
nuance,微妙な違い
transitory,一時的な
contaminate,汚染する
ware,商品
princely,王子の|豪華な
annex,付属建物|併合する
dinosaur,恐竜
explicate,詳細に説明する
immaculate,汚れのない
revoke,取り消す
observatory,天文台
unwavering,揺るがない
loveliness,美しさ
allegation,申し立て
comprehensible,理解可能な
azure,空色
supplication,懇願
ruffle,波打たせる
ajar,少し開いた
nightgown,ナイトガウン
renown,名声
bluish,青みがかった
drapery,ドレープ
spokesperson,代弁者
unjustly,不当に
enigma,謎
courtly,宮廷風の
avian,鳥の
predation,捕食
trainee,研修生
forerunner,先駆者
tombstone,墓石
slime,ぬめり
cosy,居心地の良い
vat,大桶
hone,磨く
exacerbation,悪化
authoritarianism,権威主義
roundabout,回り道|ラウンドアバウト（環状交差点）
homologous,相同の
plumage,羽毛
hexagonal,六角形の
gorilla,ゴリラ
paternity,父性
collage,コラージュ
rasp,やすり
electrically,電気的に
transatlantic,大西洋横断の
inflexible,融通の利かない
musculoskeletal,筋骨格の
linguistically,言語的に
subversion,転覆
murine,ネズミの
preponderance,優勢
wistfully,物悲しく
catcher,キャッチャー
indentation,字下げ
complainant,原告
foggy,霧のかかった
venomous,毒のある
artifice,巧妙な策
deject,落胆させる
electrophoresis,電気泳動
nonviolent,非暴力の
bereavement,死別
drunkard,酔っ払い
erasure,消去
nutmeg,ナツメグ
tectonic,地殻構造の
populous,人口の多い
anticoagulant,抗凝固剤
persecute,迫害する
ugliness,醜さ
philosophic,哲学的な
thriller,スリラー
lactose,乳糖
attainable,達成可能な
infantile,幼稚な
huddle,集まる
regal,王の
pecuniary,金銭の
alleyway,路地
tickle,くすぐる
histological,組織学の
discontinue,中止する
crackle,パチパチ音
quill,羽根ペン
transposition,置換
sexist,性差別主義者
logarithmic,対数の
domicile,居住地
baton,バトン
glutathione,グルタチオン
encephalopathy,脳症
quark,クォーク
spontaneity,自発性
preposterous,ばかげた
milky,乳白色の
crafty,狡猾な
shooting,射撃
ratify,批准する
lark,ヒバリ
thicken,濃くする
sparsely,まばらに
pulley,滑車
methodical,体系的な
elliptic,楕円の
gunman,銃撃者
heiress,相続人（女性）
veer,方向を変える
emblematic,象徴的な
libel,名誉毀損
unending,終わりのない
lessee,借地人
realistically,現実的に
nominally,名目上は
altruistic,利他的な
unwritten,書かれていない
forbear,我慢する
unknowingly,知らずに
petticoat,ペチコート
massively,大量に
choral,合唱の
lamentation,嘆き
preside,司会する
iconography,図像学
dexterity,器用さ
ejection,排出
crossing,交差点
clink,カチンという音
primate,霊長類
livid,青ざめた
sharpness,鋭さ
