instruction	教授|教育|指令|指図|使用説明書
concentration	集中|濃度|選鉱
split	株式の分割|割る|分け合う|割り勘にする|を分裂させる
assignment	割り当て|譲渡|指示|宿題|仕事|任務|任命|指摘
husband	夫|(v)倹約･節約する
efficiency	能力|効率
compensation	補償|給与|報酬|代償|補正|補強
transition	移行|変遷|変化|移り変わり|推移|過渡期|変わり目|政権移行期
mouth	口
catalogue	目録を作る|カタログ
worry	心配する
governor	統治者|知事|総督|親方|雇い主|支配者
fox	キツネ|狐|狡猾な人|すごい美人
mathematics	数学|計算|数学の|全く厳密な
lie	横たわる|横になる|寝る|うそ|詐欺
dean	学部長
explorer	探検家
outline	外形|輪郭|概略|の輪郭を描く|要点を述べる
smile	ほほえむ|にっこり笑う
aircraft	航空機|飛行機
innovation	(技術)革新|刷新|新機軸
bulletin	公報
logic	ロジック|論理学|論理|道理|理詰め
heritage	文化的遺産|遺産|相続財産
kid	子供|若者青年|子ヤギ|子ヤギの革 2|からかう|ふざける
builder	大工|工務店
comedy	喜劇
consultation	相談|会議|協議
mesh	網目|網の目|網|わな|網で捕らえる|かみ合わせる|協力させる
coordinate	調和して動く|調整する|統一させる|釣合|(文法)等位の
florist	花屋の人
prize	賞|賞品
immediate	すぐ隣の|直後の|即座の|当面の
agricultural	農業の
reverse	を反対にする|逆転する|逆(の)|反対(の)
meal	食事
acquisition	習得
strange	不思議な|妙な|見知らぬ
institution	公共機関
dealer	自動車販売等代理店|ディーラー
rear	を育てる|を築く|起こす|背面|背後|尻|臀部
analyst	分析家|解説者|解剖学者|分解者|精神分析(学)者|金融アナリスト|財務分析者
cluster	かたまり|束|一団|群集|(花|果実の)房|群がる|房になる
yield	産する|を生ずる|与える|明け渡す|負ける|出産|収穫
classroom	教室
totally	すっかり|全く|entirely
doubt	を疑う(don't believe)|疑い
inquiry	問い合わせ|問合せ|質問
setup	装備|構成
proceeding	行為|仕方|行動|処置|進行状態|議事録
identification	身元確認|身分証明|同一視|一体化
chemistry	化学|相性
moderator	仲裁者|減速材
utc	協定世界時間
pregnancy	妊娠|豊富
butt	(獣が)角で激しく突く|(俗)尻|けつ|つつく
extremely	極端に
holy	信心深い|神聖な
crash	衝突|墜落|ガチャンと壊す|一時的な熱中|盗みに押し入る
matt	(表面が)光沢がなくくすんだ|(写真など)つや消しの(面)|の表面をつや消しにする
console	悲しみを和らげる|を慰める|を元気づける
charm	をうっとりさせる|魅力的である|魅力|魔力|護符|お守り
anyway	とにかく
skill	熟練|巧妙|手腕|技能
psychology	心理学|心理|性格|心理状態
peer	仲間|同僚|同等の人|貴族|上院議員|(目を凝らして)じっと見る
witness	証言|目撃者|証人|証拠|を目撃する|署名する|を証言する
anywhere	どこにも|どこかに
sugar	砂糖スプーン一杯|砂糖|角砂糖一個
ancient	古い|古代の
breed	(動物が子を)産む|(鳥が卵を)かえす|(人を)養育する(up)
commit	(罪など)を犯す|をゆだねる|委任する
wildlife	野生生物
elementary	初歩の|初めの|初等の|基本の
giant	巨大な|巨人|巨漢|才能･知力などを備えた人
angle	(物を見る)角度|ネジ山角|(悪だくみの)魂胆|魚釣りをする|(悪い意味)策略を用いて得ようとする
packet	小包|束|包み|小荷物|小さな束|大金|通信の単位
unlimited	限りない|限定していない|無制限の|無限の|無尽蔵の
hardcover	堅表紙(本装訂)の(本)
egg	卵
empire	帝国
guidance	手引き|案内|指導
costa	肋(ろっ)骨;肋骨状の部分
printable	印刷できる;出版に適した
enforcement	励行|施行|権利の行使
