diathermy	透熱療法(高周波の電流を利用した治療法)
estrous	発情期の
hermaphroditic	両性具有の|雌雄同体の
vocalic	母音の|母音を含む|母音のような
disinter	(墓地から)〜‘を'掘り出す|発掘する
bla	Bla bla blaどうでもいいことを省略する時の表現|blah-blah-blahと同じ|Cf|yada
recognizance	誓約|誓約保証金|誓約所
papule	丘疹(きゅうしん)|(皮被にできる)小さな吹き出物
misconstrue	解釈を誤る|(人･行為など(の意図)を)誤解する
adumbrate	〈特に|未来の事〉'を'漠然と(かすかに)予示する|〜‘の'輪郭をざっと描く
anticlimax	漸降法|滑稽な格調低下|大きな期待のあとの失望|竜頭蛇尾|尻すぼみ
diagrammatically	図表(図式)で
eutrophic	(湖が)富栄養の|(動植物の)栄養物が豊かな
conflictive	矛盾する|相反する
differentia	(論理学で)種差(ある種が同じ属の他の種と区別される属性);本質的な相違点
misanthropy	(mɪsˈænθrəpi)人間嫌い|厭世|人間不信|(反)altruism(利他主義|博愛主義)|philanthropy博愛(主義)|慈善
horsey	馬の|馬のような|a horsy face 馬面(うまづら)|馬好きの|競馬･乗馬好きの
hydrosphere	(地球の)水圏|(大気中の)水気
armhole	そでぐり(そでを付けるための穴)
tableland	高原|台地
carpel	(花の)心皮(生長して果皮となり|そこに実がなる)
gallivant	(刺激・楽しみを求めて)ぶらつく|ほっつき歩く(gad)
lowbrow	教養の低い|低級な|無知な人|教養の無い
microinjection	マイクロインジェクション(微小噴射)
trephine	冠状のこ(trepanを改良したもの;頭骨に丸く穴をあけるための道具)|〈頭〉‘を'冠状のこで手術する
barrette	後ろ髪を留めるピン
mosey	《米話》ぶらつく|うろつく
sketchpad	=sketchbook1
microsystem	マイクロシステム
toke	マリファナたばこの一服|〈マリファナたばこ〉‘を'吸う|‘に'火をつける
cleat	耳形綱止め|電線押え|クリート|靴の底がね
sellout	売り切れ|札止めの興行|裏切り|寝返り
smokehouse	薫製(くんせい)場
flowerbed	花壇
breviary	(カトリックの)日課祈祷書
shabbiness	みすぼらしさ|卑劣さ
wildtype	野生型(遺伝形質の種類)
pallbearer	(葬式で)棺のそばに付き添う人;《米》棺をかつぐ人
malleus	つち骨(中耳の三つの骨のうちで最も外側にある)
scrapie	羊海綿状脳症
unbolt	〈戸・門など〉‘の'かんぬきをはずす|‘を'あける
narcissus	スイセン|(N-:ギリシア神話)ナルキッソス
sangria	サングリア(赤ぶどう酒を薄めて甘味・香料を加えた清涼飲料)
sublunary	月下の|地球上の|この世の
anarchistic	無政府主義[者]の;《軽べつして》破壊主義[者]の
hopscotch	石けり遊び
nitre	=niter
draftee	調整された者|応召兵
footsore	(長い間歩いたりして)足を痛めた|靴ずれのできた
bounden	義務的な|必修の
incurably	不治で|矯正しようもなく
egotist	自己中心癖の人|自尊家|利己主義者
discontentment	=discontent
monomial	(数式で)一項から成る|単項式
sumo	相撲
transoceanic	大洋横断の|大洋の向こうの
cytokinesis	細胞質分裂
factotum	家事いっさいをやる使用人
periphrastic	回りくどい|遠回しの
suzerain	(封建時代の)領主|宗主国(他国の外交に対して支配権を持つが|内政は許す)
warmer	暖める人|加湿器
erratum	誤り|誤字|誤植|正誤表|(pl|errata)
topcoat	〈C〉軽い外とう|合いオーバー|〈C〉〈U〉仕上げ塗り
canard	流言|虚報|先尾翼機|(仏)カモ
homiletic	説教の
parfait	パフェ(アイスクリームに果物やシロップをかけたデザート)
tugboat	タグボート|引き船
engraft	(他の木に)〜‘を'接ぎ木する《+『名』+『on』(『upon』)+『名』》|(人の心などに)〈主義・考えなど〉‘を'しっかりと植え付ける《+『名』+『in』+『名』》
radiographer	レントゲン技師
wrongheaded	考えの間違った|誤っても改めない|がんこな (例: a wrongheaded decision)
overindulgence	甘やかし過ぎ|わがまま;(〜に)ふけり過ぎること《+『in』+『策名』》
predecease	〈人・事件〉‘の'前に死亡する|‘に'先立つ
reveille	起床らっぱ･太鼓
drainpipe	排水管|下水管
screwball	風変りな|シュート(変化球|和製英語)
archduke	大公|(特に)旧オーストリア国皇子
eek	メーキャップ|化粧|顔|キャー(叫び声)
proem	序文|緒言
benzoin	安息香(香水・化粧品に用いられる)
honeydew	暑い季節に植物の城・茎にできる甘い汁(しる);(アブラムシ・ヨコバイなどの昆虫が分泌する)みつ|(糖みつで甘くした)甘露たばこ|=honeydew melon
tater	ジャガイモ|(野球)ホームラン|本塁打
impulsion	〈C〉衝動|推進力|刺激|〈U〉推進
indecorous	無作法な|不体裁な
tyrannous	暴君のような;暴虐の|残酷な
analogize	類推する|(〜と)類似している《+『with』(『to』)+『名』》|〜'を'類推する
nonalignment	非同盟|中立[状態]
smarmy	おべんちゃらを言う|うんざりする
fisticuffs	げんこつでのなぐり合い
kitschy	浅薄な作品|駄作|大げさに誠意なく|感情的な
inhabitable	住む(居る)ことができる|住むのに適した
steakhouse	ステーキハウス|ビフテキ専門のレストラン
catacomb	地下墓地
hepatica	ユキワリソウ(薄紫・白などの花を咲かせるキンポウゲ科の植物)
neolithic	(考古学)新石器時代の
brier	〈C〉イバラ|野バラ|〈U〉ブライア(シャクナゲ科の植物)|〈C〉(2の根で作った)パイプ
contretemps	あいにくなできごと|意外な事故
modish	流行を追う|現代風の
adrenalectomy	副腎摘出
glaucous	《文》淡い青緑色の|(ぶどうなど)白い粉の吹いた|白色を帯びた
babyish	赤ん坊じみた
vitrify	〜‘を'ガラス[状]にする|ガラス[状]になる
foreknow	〜‘を'予知する|前もって知る
roadhouse	街道沿いの旅館|居酒屋
uncool	格好悪い
equivocate	言葉を濁す|あいまいな言葉を使う
barefaced	素顔の|公然の|恥知らずな
incandescence	白熱[光]
insectivorous	食虫性の|虫を食う
houseful	(〜の)家いっぱい[の量|数]《+『of』+『名』》
crotchet	気まぐれな(とっぴな)考え|奇想・小型の掛けかぎ|4分音符 (《米》 quarter note)
metempsychosis	(死後の霊魂の)転生;輪廻(りんね)(transmigration)
returnee	帰国子女
greaser	(機械に)油を差す人|《俗》《軽べつして》ラテンアメリカ人|(特に)メキシコ人
tearless	涙を流さない|泣けない|目にしみない
probationer	見習い生|試験中の人
audibility	聞き取れること|可聴度
nudist	ヌーディスト|裸体主義(者)|ヌーディストの|裸体主義の
tribesman	部族の構成員
rosewater	優雅な
sunburst	(雲間から差す)強烈な日光|光り輝く宝石(装飾品など);日輪型花火
taskforce	(特殊任務を帯びた)軍の機動部隊|(一般に)対策本部|対策委員会
azalea	ツツジ|アザレア|サツキ
campanile	(特に教会の本堂から離れて建てられた)鐘楼
yeti	=Abominable Snowman
twentysomething	20代
unready	準備ができていない
hypochondria	心気症|憂鬱症|気病み|うつ病
infomercial	情報コマーシャル
clearheaded	頭の冴えた
lovelorn	恋人に捨てられた;失恋に悩んでいる
emolument	俸給|報酬|手当
baptistery	洗礼場|洗礼用水槽
bullfighting	闘牛
dachshund	ダックスフント(犬)
downhearted	落胆した|元気のない
demagogic	扇動的な|デマの
impressionism	印象派
beadwork	ビーズ細工(飾り)
blunderbuss	らっぱ銃(17‐18世紀ごろに用いられた筒先の太い短銃)
badinage	からかい|ひやかし|〜'を'からかう|いじめる
checksum	データの信頼性を確認する検出符号
holt	雑木林|(動物|特にカワウソの)巣穴|けんか|口論|争い|(レスリングの)ホールド
librettist	オペラの歌詞(libretto)の作者
noggin	頭|脳|バケツ|手桶|酒を飲むこと|小型ジョッキ|少量|ばか|愚か者|鈍い奴
capacitate	〜'を'可能にする;〈人〉‘に'能力(資格)を与える
craw	(下等動物の)胃袋　
fillip	活気づけるもの|刺激|指はじき|コツンと打つ|喚起する
duenna	(スペイン・ポルトガルの家庭で)未婚女性の監督・教育をする年輩の婦人
postcode	=zip code
theosophy	神知学|接神教(黙想や直感により神知を得ようとする)
megalomania	誇大癖|誇大妄想
hocus	に薬を一服盛る|でっち上げる|偽造する|水増しする|詐欺|薬入りの飲み物|酔っぱらった
pyrotechnic	花火の|華々しい
amperage	(電気の)アンペア数|電流量(《略》amp.)
gilt	金メッキする|金の|金箔の
snuffbox	かぎたばこ入れ
irrelevancy	見当違い|見当違いの言葉|的外れの質問|不適切|無関係
nob	頭|頭への一撃|貴族|金持ち|名士|要人|お偉方
disunite	〜‘を'分離させる|分裂させる|分離する|分裂する
outmatch	(試合などで)〜‘を'負かす|〜‘より'まさる
hoover	電気掃除機(をかける)|英国Hoover社の電気掃除機
cocksure	自信満々の|うぬぼれの強い;(〜に)うぬぼれた《+『of』(『about』)+『名』(do『ing』)》|(〜だと)うぬぼれている《+『that節』》|(〜すると)確信しきっている《+『to』 do》
methylmercury	メチル水銀
petro	石油の
barbiturate	バルビツル酸塩(鎮痛剤)
antipodal	対蹠(たいせき)地の(地球の正反対側にあることをいう)
largess	気前のよい援助･贈り物
shivery	ぞくぞくする|寒い
sidelight	サイドランプ|横からの光線|付随的な情報|わき窓
reroute	新ルートで送る|別の経路に切り替える|旅程変更する
cowhide	〈U〉〈C〉牛の生皮|〈U〉(仕上げた牛皮)|〈C〉牛皮のむち
stiffener	堅くする人(物);(表紙・えりなどの)芯(しん);〈U〉補強材
tenantry	(同一地主の)小作人たち
posset	ミルク酒(熱い牛乳にワイン・ビールなどを入れた飲料)
ewer	広口の水差し
sunfish	マンボウ|翻車魚
crosslink	架橋
toneless	抑揚のない|色彩のない
emery	金剛砂
knickerbockers	ニッカーズボン(ひざの下でくる緩い半ズボン)
baloney	たわごと|ばかげたこと
misanthrope	人間嫌い
soupy	スープのような|ドロドロした|どんよりした|霧の濃い|酒に酔って|感傷的な
spearmint	ミドリハッカ|スペアミント(調味用香料)
intrench	=entrench
shakedown	試運転|整備(期間)
terrarium	陸槽(陸生動物・植物を飼育する容器)
engross	夢中にさせる
anent	〜について|に関して
tenderhearted	心の優しい|思いやりのある
chemoattractant	化学誘引物質
gouache	グワッシュ (不透明絵の具)
maintainable	維持できる|扶養できる|主張できる
bateau	〈C〉両頭の平底のこぎ舟
windup	終結|仕上げ|しめくくり
gearshift	(特に自動車の)ギヤ転換装置
sheepfold	羊を入れるおり(囲い)
viewing	鑑賞
primp	きちんと着飾る|めかす|整える|着こなす|着飾る
turreted	小塔のある|砲塔(銃座)のある|(巻貝など)塔状の渦巻のある
cotyledon	子葉(胚の初葉)
frumpy	=frumpish
perigee	《通例単数形で》近地点(衛星や宇宙船などが地球に最も近づく位置)
crawly	=creepy
clownish	おどけ者めいた|こっけいな
tractate	論文
quicklime	生石灰|酸化カルシウム|化学式CaOで表される化合物
resoundingly	(音など)鳴り響く|めざましい|顕著な
lunette	三日月形(半円形)の物;弦月窓
crepuscular	《文》たそがれ時の|薄明の|(動物が)薄明活動性の(たそがれ時に動き回る習性)
pegmatite	巨晶花崗岩|文象花崗岩(断面に文字模様のついたもの)
phagocyte	食細胞
invitee	招待客
biotinylated	ビオチン化すること|ビオチンはビタミンB群の水溶性ビタミンの一種で|ビタミンB7とも呼ばれる
slugger	強打者|拳闘選手
ventriloquism	腹話術
psychokinesis	念力[による物体の移動]
scraggy	やせこけた|でこぼこの|不ぞろいの
stowage	積み込み|積み込みの余地|荷積み料
jeez	あらっ
aphasic	失語症患者|失語症の|失語症にかかっている
healthiness	健康であること|健全さ
svelte	(女性が)すらりとした|すんなりした姿の
foresail	前檣(ぜんしょう)大帆
stealer	盗む者|どろぼう
suspensory	(ひも・筋肉・包帯などが)懸垂式の|中止の|停止の
terrifically	ひどく
hydrotherapy	水治療法(温泉などの病気療法)
jive	スイングに合わせて踊る(曲)|ジルバ|(俗)たわごと
poser	難題|難問 2|気取り屋|ポーズをとる人
tangency	＜tangeny|接触|2つのものが触れたり物理的に接触したりする接点
astro	宇宙飛行士(の)
bedpan	湯たんぽ
forgivable	許してよい
pomade	ポマード|〈髪〉‘に'ポマードをつける
gerrymander	ゲリマンダー(自党に有利なように選挙区を区割りすること;その選挙区)|〈選挙区〉‘を'自党に有利に改正する
blackthorn	リンボク(欧州・アジア産でバラ科の木;ステッキの材料)|《米》サンザシ属(hawthorn)
handbrake	(車の)手動ブレーキ
laryngoscope	喉頭(こうとう)鏡
burnish	磨く
screed	長談義|スクリード
undersurface	下面|底面|水面下の|水中の
vituperation	厳しく避難すること|ののしり
desensitize	鈍感にする|感度を減ずる
churl	無作法者|いなか者
laver	浅草のり|ノリ
blazon	〜'を'公表する|公告する《+『forth』(『out』|『abroad』)+『名』》|〜'を'鮮やかな色彩で飾る|〈紋章〉'を'盾(たい)に描く|〜'を'紋章で飾る|紋章
frigidity	厳寒|冷淡
bract	(植物の)ほう(苞)
declaim	朗読する|弁じたてる|劇的に朗読する|大げさな調子でしゃべる
telecast	テレビ放送
crossbones	交差した大腿(だいたい)骨の図柄
inhumanly	不人情に|冷酷に
aslant	斜めに|傾いて|《まれ》〜を斜めに横切って
snowdrop	ユキノハナ(早春に白い花をつける草;欧州産)
outclass	〜‘の'勝る|‘より'優れた
suspender	《複数形で》《米》ズボンつり|サスペンダー(《英》braces)|《複数形で》《英》ガーター|靴下留め
bedbug	ナンキンムシ|南京虫|トコジラミ
haggis	ハギス(羊や子牛の内臓･脂･オートミール･玉葱のミンチを家畜の胃袋に詰めてボイルするスコットランドのプリン)
cartload	荷車(馬車)一台分の荷
