thorax,胸部
shirk,怠ける
affix,貼る
rapt,夢中の
adage,格言
schizophrenic,統合失調症の
montage,モンタージュ
rouge,口紅
leaden,鉛のような
cinder,燃えかす
repudiation,拒否
dilatation,拡張
necrotic,壊死の
aesthetically,美的に
unjustified,不当な
lib,図書館［libraryの略語］|自由［libertyの略語］
pheasant,キジ
fillet,フィレ肉
hitter,打者
mace,メイス（武器）
artful,巧妙な
magnanimous,寛大な
felon,重罪犯
infatuate,夢中にさせる
prolongation,延長
guarantor,保証人
upfront,率直な
extrapolate,推測する
babysitter,ベビーシッター
irreconcilable,和解できない
militarism,軍国主義
birthright,生まれながらの権利
foreword,序文
superoxide,過酸化物
cuss,ののしる
affluence,富裕
adherent,支持者
litany,長々とした話
nearness,近さ
secretory,分泌の
exporter,輸出業者
wicker,柳細工
formless,形のない
intelligently,賢く
royalist,王党派
savagery,野蛮さ
shapely,形の良い
pant,あえぐ
taker,取る人
citrate,クエン酸塩
drawl,のろのろ話すこと
eulogy,賛辞
android,アンドロイド
unattended,無人の
repellent,忌避剤
petal,花びら
dutiful,忠実な
savory,風味の良い
unambiguously,明確に
undercurrent,下層の流れ
dissident,反体制者
baggy,だぶだぶの
immobility,不動
organically,有機的に
gymnastics,体操
unman,男らしさを失わせる
mater,母（俗語）
conceivably,考えられる限り
triage,トリアージ
headway,前進
inconsequential,重要でない
concoction,混合物
jetty,防波堤
adornment,装飾
scrupulous,几帳面な
tungsten,タングステン
plywood,合板
solicitude,思いやり
behest,命令
senescence,老化
spline,スプライン
lingual,舌の
sixpence,シックスペンス硬貨
perishable,腐りやすい
raccoon,アライグマ
banishment,追放
seabed,海底
infirmary,医務室
heartbreaking,胸が張り裂けるような
workday,労働日
confessor,告解司祭
metrical,韻律の
disobedient,反抗的な
tillage,耕作
parentage,出自
mime,無言劇
vindictive,復讐的な
histology,組織学
acquaint,知らせる
ureter,尿管
armistice,休戦
extradition,引き渡し
extractive,抽出の
ataxia,運動失調
marketable,売れる
atrocious,ひどい
arrhythmia,不整脈
clammy,じめじめした
regressive,退行的な
breakage,破損
underfoot,足元に
shaker,振る道具
zucchini,ズッキーニ
bequest,遺贈
hoax,悪ふざけ
locket,ロケット（ペンダント）
neurosis,神経症
grouse,ライチョウ
acetylcholine,アセチルコリン
topographic,地形の
ebony,黒檀
