imbecile,愚か者
kilometre,キロメートル
justifiably,正当にも
aright,正しく|適切に
hillock,小さな丘
astrological,占星術の
rattlesnake,ガラガラヘビ
elastomer,エラストマー（弾性体）
transgressive,越境する|規範破りの
wedlock,結婚|婚姻
anchovy,アンチョビ
obsolescence,廃れ|陳腐化
outhouse,屋外トイレ
markup,上乗せ価格|マークアップ
ravage,荒廃させる
inflorescence,花序
decrepit,老朽化した|ぼろぼろの
multicolored,多色の
tryptophan,トリプトファン（アミノ酸）
twirl,くるくる回る|ひねる
quizzical,不思議そうな|疑問の
indigestion,消化不良
seatbelt,シートベルト
mediocrity,凡庸さ|平凡な人
insolvent,支払い不能の
bouncer,用心棒|跳ね返すもの
unrecognizable,認識できない
atherosclerotic,動脈硬化の
musically,音楽的に
divisor,除数
subcontractor,下請け業者
stethoscope,聴診器
conscientiously,良心的に|誠実に
devolve,権限を移譲する|退化する
snowfall,降雪
conspire,共謀する
enlistment,入隊
aseptic,無菌の
irritably,いらいらして
rejoinder,返答|反論
inhumane,非人道的な
overlord,支配者
immanence,内在性
awash,水浸しの|あふれた
customarily,習慣的に
cyanobacteria,シアノバクテリア|藍藻
bookmark,しおり
infidel,異教徒
gangway,通路|桟橋
magpie,カササギ
operatic,オペラの
reconstitution,再構成
commonsense,常識
fentanyl,フェンタニル（麻酔薬）
upregulated,アップレギュレーションされた|調節上昇した
reaper,収穫者|死神の意
thermostat,サーモスタット
bushel,ブッシェル（容量単位）
lavishly,ぜいたくに
unzip,ジッパーを開ける
sidebar,サイドバー|補足記事
deferral,延期
quandary,困惑|板挟み
studious,勉強熱心な
alderman,市議会議員
apolitical,政治に関心がない|非政治的な
synod,教会会議
ductile,延性の|柔軟な
endoplasmic,細胞内小器官の一種（小胞体の）
congestive,うっ血性の
heifer,若い雌牛
inhaler,吸入器
duplicity,二枚舌|不誠実
silverware,銀製食器|銀器
rhino,サイ［rhinocerosの略語］
carpal,手根骨の
watchdog,監視者|番犬
unsigned,署名のない
gipsy,ジプシー（放浪者）
dazzle,眩惑する|目をくらませる
patently,明白に|明確に
nonparametric,ノンパラメトリック（非母数の）
countable,数えられる
liberality,寛大さ|気前の良さ
microvascular,微小血管の
debauchery,放蕩|堕落行為
splenic,脾臓の
ghoul,死体を食べる怪物|悪霊
intuit,直感する
molybdenum,モリブデン（金属元素）
aetiology,病因学|原因論
demented,発狂した|精神錯乱の
manna,恵みの食物|マナ
wordless,言葉のない|無言の
tonnage,トン数|積載量
impious,不敬な|信心のない
nether,下の|下位の
togetherness,団結|一体感
auxin,オーキシン（植物成長ホルモン）
croissant,クロワッサン（パン）
scrawny,やせこけた
fundus,底部|基底部
granulation,肉芽形成
irresistibly,抗しがたいほどに
ineligible,不適格な|資格のない
faceless,顔のない|匿名の
gastroenteritis,胃腸炎
immensity,巨大さ|広大さ
grisly,ぞっとするような|恐ろしい
maliciously,悪意を持って
lumpy,こぶ状の|デコボコの
monopolize,独占する
punt,手投げボート|賭け
portend,前兆となる|予示する
depolarization,脱分極
reactivation,再活性化
stressor,ストレス要因
antihypertensive,降圧剤
nub,核心|要点
mower,芝刈り機
clockwork,ぜんまい仕掛け|規則的な動き
disequilibrium,不均衡
evermore,いつまでも|永遠に
funk,恐怖|憂鬱
hygienic,衛生的な
saltwater,塩水
subtext,潜在的意味|含意
metabolize,代謝する
freighter,貨物船
trapdoor,落とし戸
blissfully,至福に
hyperbole,誇張法
immeasurably,計り知れないほど
indoctrination,教え込み|洗脳
entreaty,懇願|嘆願
flotation,浮遊|浮かぶこと
somersault,宙返り
fixer,問題解決者|調整者
inspiratory,吸気の
printout,印刷物|プリントアウト
regretfully,残念ながら|後悔して
definitional,定義に関する
nitride,窒化物
obelisk,オベリスク|記念塔
baritone,バリトン（声域）
decanter,デキャンタ（酒器）
meme,ミーム|文化的遺伝子
serous,漿液の
broadcaster,放送局|放送者
farthing,ファーシング（旧イギリスの貨幣単位）
bathrobe,バスローブ|浴衣
cerebrovascular,脳血管の
armature,アーマチュア|骨組み
meniscus,半月板|液体の表面膜
stun,気絶させる|驚かせる
boneless,骨なしの
beholden,恩義がある
inactivate,不活性化する
imprudent,軽率な|無分別な
header,ヘッダー|先頭部
crunchy,カリカリした
myelin,ミエリン（神経鞘）
granary,穀倉
eject,排出する|追い出す
oat,オート麦|燕麦
whereon,その上に|それに関して
pedagogic,教育の|教育学的な
paganism,異教信仰
recluse,隠遁者|世捨て人
writhe,もがく|身をよじる
banister,手すり
thaliana,シロイヌナズナ（植物）［Arabidopsis thaliana の略語］
bulbous,球根のような|膨れた
surcharge,追加料金
obsidian,黒曜石
knickers,女性用下着（英）|パンツ
respirator,人工呼吸器
neurology,神経学
glorification,賛美|栄光を与えること
greyish,灰色がかった
gouge,くり抜く|詐欺
catfish,ナマズ
revere,崇拝する|敬う
financier,資本家|金融業者
prim,きちんとした|堅苦しい
invective,悪口|罵倒
microprocessor,マイクロプロセッサー
convexity,凸面|膨らみ
airlock,気密室
anarchism,無政府主義
irrepressible,抑えきれない
combative,好戦的な|けんか好きな
homozygous,ホモ接合の
macho,マッチョな|男らしさを誇示する
specie,硬貨|正貨（ラテン語由来の古語）
trouser,ズボン
skyward,空に向かって|上空へ
dinghy,小型ボート|救命ボート
fecundity,繁殖力|多産性
persuasively,説得力をもって
monotonic,単調な|増加/減少し続ける
consecutively,連続して
clank,ガチャガチャという音
esprit,才気|機知
falsify,偽造する|歪曲する
huntsman,猟師
loophole,抜け穴|抜け道
slippage,ずれ|滑り
ensign,軍艦旗|海軍の下級将校
lather,泡|泡立てる
polymorphic,多形性の|多様な形態を持つ
sedition,扇動|反乱
minuscule,極小の|非常に小さい
footballer,サッカー選手
scruffy,だらしない|汚らしい
electrification,電化|電力供給化
regrettable,遺憾な|残念な
inept,不適切な|無能な
hazelnut,ヘーゼルナッツ
apocryphal,出所不確かな|偽書の
wrapper,包装紙
businesslike,実務的な|効率的な
signage,看板|標識
lewd,わいせつな|みだらな
insulate,隔離する|断熱する
gravelly,砂利のような|しわがれた
gingerbread,ジンジャーブレッド（菓子）
adobe,日干しレンガ|アドビ（土とわらの建材）
unabated,衰えない|弱まらない
rapper,ラッパー（音楽アーティスト）
concourse,広場|集合場所
stoppage,停止|中断
horsepower,馬力
blackbird,クロウタドリ
degeneracy,退廃|劣化
enviable,うらやましい
presentable,人前に出られる|見栄えのする
punctuate,句読点を打つ|強調する
infirm,虚弱な|老衰の
florist,花屋
seasonally,季節的に
cohabitation,同棲
florid,赤みがかった|華やかな
motorize,動力を与える
univariate,一変量の
questioner,質問者
chit,伝票|小切手
quiescent,静止した|無活動の
signatory,署名者|署名国
chunky,ずんぐりした|厚手の
whit,ほんの少し|わずか
despondency,落胆|意気消沈
numberless,無数の
suckling,乳飲み子
wonderment,驚き|不思議な感じ
commissary,売店|食料供給係
