paperclip,ペーパークリップ
daunt,くじけさせる
egotistic,利己的な
flavoring,香料
plutocracy,金権政治
demoralize,士気をくじく
abscond,逃亡する
flunk,落第する
backboard,バックボード
streptococcus,連鎖球菌
bronco,野生馬
fluorescently,蛍光で
grungy,だらしない
legato,レガートで
unmerciful,無慈悲な
disjoin,分離する
eatable,食べられる
bugler,ラッパ手
ridership,乗客数
contumely,侮辱
ineluctably,必然的に
yeomanry,自営農民
bebop,ビバップ（ジャズ）
slicer,スライサー
individuate,個別化する
reawaken,再び目覚めさせる
whetstone,砥石
explant,移植片
monger,売り歩く人
highborn,高貴な生まれの
odoriferous,匂いのある
inextinguishable,消せない
circumcise,割礼する
fruitcake,フルーツケーキ
sublethal,致死未満の
eventide,夕暮れ
matchstick,マッチ棒
castanet,カスタネット
joviality,陽気さ
transcriptionally,転写的に
osier,ヤナギ材
virologic,ウイルス学の
medulloblastoma,髄芽腫
levitate,浮揚する
polonium,ポロニウム
whitewater,急流
unisexual,単性の
pecker,嘴（鳥のくちばし）
tumorigenic,腫瘍形成性の
industrialize,産業化する
curbside,縁石沿い
swashbuckling,冒険的な
fondue,フォンデュ
wouldest,〜だろう（古語）
fantasia,幻想曲
cavort,はしゃぐ
antiparticle,反粒子
gunship,ガンシップ（武装ヘリ）
baobab,バオバブ
minim,最小単位
chine,背骨（動物）|峡谷
parathion,パラチオン（農薬）
pissy,いらいらした
windsurf,ウィンドサーフィン
attainder,市民権剥奪
latticework,格子細工
roger,了解（通信用語）
grump,不機嫌な人
gangrenous,壊疽の
vegetate,無為に過ごす
depoliticize,政治色をなくす
desperado,無法者
scandium,スカンジウム
subnormal,平均以下の
hominy,碾き割りトウモロコシ
polygynous,一夫多妻の
selfreliance,自立
wheal,膨疹（じんましん）
decamp,退去する
howler,とんでもない間違い
phonic,音声の
delectation,楽しみ
fibrosarcoma,線維肉腫
harmonium,ハルモニウム（鍵盤楽器）
monoplane,単翼機
spectacled,眼鏡をかけた
chopstick,箸
deuced,ひどく（古風）
breadboard,試作基板
stonily,冷たく
goby,ハゼ（魚）
frugally,倹約して
irrecoverable,回復不可能な
ungulate,有蹄動物
hydrophobia,恐水症（狂犬病）
showbiz,ショービジネス
cutback,削減
overstay,長居する
knavery,不正行為
lariat,投げ縄
tracheotomy,気管切開
goatskin,ヤギ革
cetacean,鯨類
disyllabic,二音節の
crossbeam,横梁
furlong,ハロン（距離単位）
heckler,やじる人
coloring,色付け
hollowly,空虚に
otherworld,あの世
pica,異食症
inroad,侵入
avuncular,優しい（おじのような）
bimonthly,隔月の
commonness,平凡さ
toque,トーク帽
caulk,すき間を塞ぐ
hake,ヘイク（魚）
neoprene,ネオプレン（合成ゴム）
depredation,略奪
aleatory,偶然による
goldenrod,セイタカアワダチソウ
lutea,黄色の（植物学）
workmanlike,職人的な
flagstaff,旗竿
recantation,撤回
intercommunication,相互通信
liniment,塗布薬
historiographer,史家
smolder,くすぶる
greensward,芝生
poniard,短剣
spirituous,アルコール性の
bast,靭皮繊維
vassalage,臣従
riffraff,下層民
yachtsman,ヨット乗り
fullback,フルバック（スポーツ）
vetch,ソラマメ属（植物）
crabby,不機嫌な
parkway,並木道
gatepost,門柱
procuress,売春斡旋女
smidgen,ごく少量
diathermy,透熱療法
estrous,発情期の
hermaphroditic,雌雄同体の
vocalic,母音の
disinter,掘り出す（死体などを）
bla,ばかげた話（俗語）
recognizance,出廷誓約（金）
papule,丘疹（皮膚の小さな発疹）
misconstrue,誤解する
adumbrate,概説する
anticlimax,期待外れ
diagrammatically,図式的に
eutrophic,富栄養の
conflictive,対立的な
differentia,区別要素
misanthropy,人間嫌い
horsey,馬のような
hydrosphere,水圏
armhole,アームホール（服飾）
tableland,高原
carpel,心皮（植物学）
gallivant,遊び歩く
lowbrow,低俗な
microinjection,顕微注入
trephine,トレパン（外科器具）
barrette,バレッタ（髪留め）
mosey,ぶらつく
sketchpad,スケッチブック
microsystem,小規模システム
toke,一服（麻薬）
cleat,滑り止め（靴・甲板）
sellout,完売
smokehouse,燻製小屋
flowerbed,花壇
breviary,祈祷書
shabbiness,みすぼらしさ
wildtype,野生型（遺伝学）
pallbearer,棺担ぎ人
malleus,槌骨（耳小骨）
scrapie,スクレイピー（羊の病気）
unbolt,閂を外す
narcissus,スイセン
sangria,サングリア（果実酒）
sublunary,地上の
anarchistic,無政府主義の
hopscotch,ケンケン遊び
nitre,硝石
draftee,徴集兵
footsore,足が痛い
bounden,義務的な（古風）
incurably,不治に
egotist,利己主義者
discontentment,不満
monomial,単項式
sumo,相撲
transoceanic,大洋横断の
cytokinesis,細胞質分裂
factotum,雑役夫
periphrastic,迂言的な
suzerain,宗主国
warmer,温め器
erratum,誤植
topcoat,オーバーコート
canard,デマ
homiletic,説教の
parfait,パフェ
tugboat,タグボート
engraft,移植する
radiographer,放射線技師
wrongheaded,頑固に誤った
overindulgence,過度の甘やかし
predecease,先に死ぬ
reveille,起床ラッパ
drainpipe,排水管
screwball,変人
archduke,大公
eek,キャー（驚きの声）
proem,序文
benzoin,安息香
honeydew,ハネデューメロン
tater,じゃがいも（俗語）
impulsion,衝動
indecorous,無作法な
tyrannous,専制的な
analogize,類推する
nonalignment,非同盟
smarmy,へつらう
fisticuffs,殴り合い
kitschy,悪趣味な
inhabitable,居住可能な
steakhouse,ステーキハウス
catacomb,カタコンベ（地下墓地）
hepatica,スハマソウ（植物）
neolithic,新石器時代の
brier,イバラ
modish,流行の
adrenalectomy,副腎摘出
glaucous,青緑色の
babyish,子供っぽい
vitrify,ガラス化する
foreknow,予知する
roadhouse,ロッジ風酒場
uncool,かっこよくない
equivocate,あいまいに言う
barefaced,厚かましい
incandescence,白熱
insectivorous,昆虫食の
houseful,満員の家
crotchet,気まぐれ（古風）
metempsychosis,転生（古語）
returnee,帰国者
greaser,油まみれの人（俗語）
tearless,涙のない
probationer,試用期間者
audibility,可聴性
nudist,裸主義者
tribesman,部族の人
rosewater,バラ水
sunburst,日光の光線
taskforce,特別任務部隊
azalea,ツツジ
campanile,鐘楼
yeti,イエティ（雪男）
twentysomething,20代前半の人
unready,準備できていない
hypochondria,心気症
infomercial,情報商業番組
clearheaded,明晰な
lovelorn,恋に破れた
emolument,報酬
baptistery,洗礼堂
bullfighting,闘牛
dachshund,ダックスフント
downhearted,落胆した
demagogic,扇動的な
impressionism,印象派
beadwork,ビーズ細工
blunderbuss,古式マスケット銃（古語）
badinage,冗談（古風）
checksum,チェックサム
holt,林（古語）
librettist,リブレット作家
noggin,頭（俗語）
capacitate,能力を与える
craw,胃（鳥類）
fillip,刺激（古風）
duenna,監督女性（古語）
postcode,郵便番号
theosophy,神智学
megalomania,誇大妄想
hocus,いたずら（古風）
pyrotechnic,花火の
amperage,電流値
gilt,金箔
snuffbox,嗅ぎタバコ入れ
irrelevancy,無関係
nob,高位者（俗語）
disunite,分離させる
outmatch,勝る
hoover,掃除機（ブランド名）
cocksure,自信過剰な
methylmercury,メチル水銀
petro,石油［petroleumの略語］
barbiturate,バルビツール酸塩
antipodal,正反対の
largess,施し（古風）
shivery,震える
sidelight,側光
reroute,迂回させる
cowhide,牛革
stiffener,補強材
tenantry,小作人（古風）
