peripatetic,歩き回る|巡回の
sepia,セピア色|褐色
fife,ファイフ（小型横笛）
colonist,入植者|植民者
lovesick,恋煩いの
homeroom,ホームルーム
mastitis,乳腺炎
sideshow,余興|見世物小屋
noblesse,貴族階級（フランス語由来）
vasoactive,血管作用のある
alumnus,卒業生（男性）
shalom,シャローム|平和（ヘブライ語の挨拶）
stigmatize,汚名を着せる
boorish,粗野な|無作法な
improbably,ありそうにないほど
clunky,不格好な|重ったるい
sentimentalism,感傷主義
watchmaker,時計職人
professorial,教授らしい
friable,もろい|砕けやすい
chelation,キレート化（化学結合）
bombastic,大げさな|仰々しい
calabash,ひょうたん
latitudinal,緯度の
psychogenic,心因性の
hutch,小屋|うさぎ小屋
unsanitary,不衛生な
ungenerous,けちくさい|寛大でない
gad,うろつく|ぶらぶら歩く
ephemera,つかの間のもの
forevermore,永遠に
phosphorescence,燐光
duplicitous,二枚舌の|不誠実な
tripe,くだらないこと|牛の胃袋（料理）
dignify,威厳を与える
vaccinate,予防接種する
trapeze,空中ブランコ
corvette,小型軍艦
drywall,石膏ボード
genotypic,遺伝型の
obsessional,強迫的な
doorkeeper,門番|ドア係
geneticist,遺伝学者
undeclared,未申告の|表明されていない
dray,荷馬車
acquisitive,貪欲な|所有欲の強い
mangle,めちゃくちゃにする
polysemy,多義性
residuum,残留物|かす
piglet,子ブタ
tidbit,一口|小さい情報
enunciate,はっきり発音する|明言する
abasement,屈辱|卑下
fedora,ソフト帽
hydrolase,加水分解酵素
councilman,市議会議員（男性）
juxtapose,並置する
streamer,垂れ幕|配信者（現代用法）
chlorination,塩素消毒
intercollegiate,大学間の
lira,リラ|通貨（旧イタリアなど）
belch,げっぷをする
anodyne,鎮痛剤|和らげるもの
measly,ごくわずかな|取るに足らない
pepsin,ペプシン|消化酵素
commandeer,徴発する|強制的に取る
isosceles,二等辺の（三角形）
flay,皮をはぐ|酷評する
teaser,じらす人|予告編
bestowal,授与|贈与
triplicate,三通複写の|三倍の
misjudge,誤って判断する
immoderate,過度の|極端な
strophe,ストローフェ|詩の節（古代ギリシャ）
miscreant,悪党|不信心者
treacle,糖蜜|甘ったるい言葉
dismember,手足を切断する
excoriate,激しく非難する|皮をはぐ
cheesecloth,ガーゼ状布
