hellacious	すばらしい|びっくりするような|ひどい|つらい(hell of a に近いことば)
armlet	腕輪|腕飾り(手首でなく腕上膊(じょうはく)部にはめる)|小さな入り江
dockland	ドック地域|波止場地域|ドック地区
oversexed	性的興味(性欲)が強過ぎる
feedstuff	飼料|えさ
homewards	=homeward
frugally	つましく|質素に
shako	(前に金層装飾|上に羽飾りのついた)筒形軍帽
bestride	〜‘に'またがる;〜'を'またいで越す
pilaster	ピラスター|柱形|付け柱|片蓋柱
rapine	略奪|強奪
milliard	10億(billion)
wittingly	承知で|わざと
fiddlestick	バイオリンの弓(bow)
noncombatant	非戦闘員(軍医・従軍牧師など)|戦時の一般市民
abnegation	権利(欲望など)の放棄;禁欲
synergize	相乗作用を与える
sporangium	(コケ植物の)胞子嚢(のう)
malefic	有害な|災いを呼ぶ
lecher	好色家
scatterbrain	気持ちが散漫な人|軽率な人
betake	(〜に)〈自分〉'を'行かせる《+one『self to』+『名』》
forestation	植林|造林;営林
quietus	《文》(債務などの)清算|解除|死|とどめ
wharfage	波止場(埠頭)使用料
enplane	飛行機に乗る(《英》emplane)
infrequency	まれなこと
vinous	ぶどう酒の[ような];ぶどう酒に酔った|ワインレッド色の
cornstalk	とうもろこしの茎
footbath	足洗い用たらい|足を洗うこと
saurian	トカゲ類の動物|トカゲ類の|トカゲ類動物特有の
pungency	(味・香りなどの)刺激|(皮肉・機知の)鋭さ|しんらつ
mudflat	干潟(ひがた)
avuncular	叔父の|おじ(伯父･叔父)の(ような)
shivery	ぞくぞくする|寒い
tramline	市街電車系統|《話》(テニスの)コートの側線
curdle	(牛乳など)凝結させる|凝固する
redcoat	(米国独立戦争当時の)英兵
chigger	ツツガムシ(ダニの一種)|スナノミ(南米・アフリカ産のノミ)
setscrew	止めねじ|押しねじ
unmerciful	無慈悲な|残酷な
tideway	潮路・潮流
deadness	死の状態|生気のないこと|(色などの)さえないこと;(酒などの)気の抜けていること
reprobation	非難|叱責(しっせき)|神に見放されること
burgomaster	(オランダ・フランドル地方・ドイツ・オーストリアの)市長
filarial	糸状虫の|フィラリアの
opalescence	オパールのような光|乳白光
roundish	丸みのある|やや丸い
plimsoll	《複数形で》《英》ゴム底ズック靴|運動靴《米》sneaker)
untwist	よりがもどる|ほどける|〈糸〉‘の'よりをもどす|〈もつれ〉‘を'ほどく
milquetoast	気の弱い人|いくじなし
fellah	(エジプト・シリアなどの)農夫|労働者
epiglottis	喉頭蓋|のどぶた
vacantly	ぼんやりと|ぽかんとして
cablegram	=cable{名}3
acclimatize	順応させる
obsessional	(人・考えが)強迫観念(妄想)にとりつかれた|(病気が)強迫観念(妄想)の症状を表して|強迫観念(妄想)を持っていめ人
flophouse	安宿|簡易宿泊所
debarkation	陸揚げ|上陸
crinoid	ウミユリ(ウミユリ綱の棘皮(きょくひ)動物)
miscue	誤り|しくじり(をする)|(スポーツの)エラー|間違った合図をする
croupier	胴元
nastily	不快に|意地悪く|みだらに
consanguineous	血族の|血縁の|血を分けた
camporee	キャンポリー(ボーイスカウトの地方集会)
inculcation	繰り返し教え込むこと|心にたたき込むこと
downstage	舞台の前方で(へ)|舞台前方の|舞台前半分
wardroom	(軍艦の)上級士官室
personalty	=personal property
splutter	(混乱して)早口でしゃべる|〈物が〉パチパチ(ジュー)と音を立てる|(混乱して)〜‘を'早口で言う《+『out』+『名』|+『名』+『out』》|パチパチ(ジュー)という音
mignonette	モクセイソウ(かおりのいい緑色がかった小さい花房をつける庭木)
crosscheck	〈計算〉'を'別のやり方で検算する|〈データなど〉'を'種々の情報(方法)で確かめる
eggbeater	卵泡立て器
appurtenance	付属物|従物(法律上財産に付属している権利)
sealskin	オットセイ(アザラシ)の皮(毛皮)
oubliette	(城などの)地下牢(ろう)(天井に出入口がある)
forewarn	(〜について)〈人〉‘に'前もって知らせる《+『名』〈人〉+『of』+『名』》;〈人〉‘に'(〜であることを)前もって警告する《+『名』〈人〉+『that節』》
motorman	(電車・電気機関車の)運転手
