confidence,自信
sink,沈む
suppose,思う
sir,〜さん
index,索引
somewhat,やや
president,大統領
angry,怒った
label,ラベル
south,南
previously,以前に
transition,移行
scheme,計画
generate,生成する
criminal,犯罪者
perception,知覚
glance,ちらりと見る
brief,短い
finger,指
publication,出版物
joint,関節
okay,大丈夫
colour,色
typically,典型的に
pack,包む
administration,管理
payment,支払い
respectively,それぞれ
improvement,改善
shut,閉める
participate,参加する
climate,気候
rain,雨
sword,剣
video,映像
cent,セント
acknowledge,認める
absence,欠席
silent,静かな
entity,実体
philosophy,哲学
matrix,マトリックス
medium,中間
mostly,主に
fundamental,基本的な
route,経路
investigate,調査する
hotel,ホテル
angle,角度
tall,高い
platform,プラットフォーム
equipment,装置
tear,涙
definitely,確かに
alive,生きている
apart,離れて
employment,雇用
seed,種
prayer,祈り
contemporary,現代の
beneath,〜の下に
industrial,工業の
variation,変化
strain,緊張
commercial,商業の
lesson,授業
nose,鼻
hardly,ほとんど〜ない
inch,インチ
pure,純粋な
co,会社［companyの略］
joy,喜び
flash,閃光
sum,合計
wash,洗う
comfort,快適さ
driver,運転手
selection,選択
salt,塩
operate,操作する
sharp,鋭い
formal,正式な
federal,連邦の
tea,お茶
technique,技術
tool,道具
dependent,依存した
behaviour,行動
iron,鉄
substance,物質
pray,祈る
department,部門
welcome,歓迎する
extend,延長する
fashion,流行
debt,借金
flat,平らな
permission,許可
favor,好意
recognition,認識
probability,確率
significantly,著しく
hill,丘
household,世帯
tip,先端
delay,遅れ
shirt,シャツ
pre,前の
arrangement,取り決め
possibly,おそらく
discourse,論説
bridge,橋
observe,観察する
relief,安心
stick,棒
creature,生き物
highlight,強調する
technical,技術的な
maximum,最大の
transformation,変化
row,列
vessel,船
preserve,保存する
mainly,主に
foundation,基礎
largely,大部分は
famous,有名な
column,柱
meal,食事
bottle,瓶
ordinary,普通の
zone,区域
busy,忙しい
harm,害
sheet,シーツ
exposure,曝露
winter,冬
teach,教える
divine,神聖な
whereas,〜である一方で
false,偽りの
component,部品
innovation,革新
pursue,追求する
severe,厳しい
glad,嬉しい
native,先住の
portion,部分
division,分割
representative,代表者
consumption,消費
compare,比較する
anxiety,不安
abuse,虐待
closely,密接に
quarter,4分の1
director,監督
skill,技術
translation,翻訳
desk,机
entry,入場
intellectual,知的な
implementation,実行
consciousness,意識
counter,反対の
cognitive,認知の
gap,隔たり
competition,競争
efficiency,効率
introduce,紹介する
yellow,黄色
dangerous,危険な
feed,与える
fun,楽しみ
thou,あなた（古語）
tight,きつい
silver,銀
prison,刑務所
aside,わきへ
intelligence,知能
height,高さ
increasingly,ますます
healthy,健康的な
regime,政権
node,節点
necessarily,必ずしも
density,密度
library,図書館
nerve,神経
deeply,深く
habit,習慣
theme,テーマ
finish,終わる
peer,同僚
ground,地面
grade,等級
engagement,約束
fuel,燃料
shoot,撃つ
profile,プロフィール
