sceptic	=skeptic
redetermination	determining again
empiric	経験的|実証的|経験的
fricative	(子音が)摩擦で生ずる|(文法)摩擦音
noncurrent	not current or belonging to the present time
milliliter	ミリリットル
subsumption	小前提|包摂
standpipe	給水用パイプ|給(貯)水塔|水力利用の加圧パイプ
velodrome	ベロドローム
vociferous	大声でどなる|やかましい|騒々しい
outbuilding	離れ(家)
soothsayer	占い師|予言者
trapdoor	跳ね上げ戸
headfirst	まっさかさまに|無鉄砲に|大急ぎで
theist	有神論者
coitus	性交(sexual intercourse)
scrapper	戦士|武者|闘士|戦闘員
deserter	(義務･家族を)捨てた人|遺棄者|職場放棄者|脱走兵|裏切り者|離党者
separability	the capability of being separated
neuritis	神経炎
serogroup	血清学的グループ
opuntia	ハウチワサボテン
dentition	歯の状態(歯の数・種類・歯列など)|歯牙(しが)の発生
understaffed	人員不足の
smallness	小さいこと|狭量
cutback	枝の刈り込み|切りかえし|縮小|削減|合理化
perineal	of or relating to the perineum; "perineal pains"|of or relating to the perineum
raver	羽目をはずして楽しむ人|好き勝手な生活を送る人|熱狂的な人|狂人|放蕩児|ホモ
gavage	強制飼養(病人・鳥にゴム管などを用いて食物を与えること)
socialise	仲良く交際する|交際する|社会化|社会化|社会化
unforeseeable	incapable of being anticipated; "unforeseeable consequences"|incapable of being anticipated
counteroffer	an offer made by someone who has rejected a prior offer
uncompleted	未完成|不完全
worktop	調理台|(台所の)作業台
trope	言葉の比喩的用法
weka	flightless New Zealand rail of thievish disposition having short wings each with a spur used in fighting
sulfonate	スルホン酸塩
sociability	社交性|交際じょうず;交友を好むこと
volcanology	火山学
scapular	肩甲骨
fettuccine	フェットチーネ
hijinks	どんちゃん騒ぎ
thankless	感謝されない|感謝の気持ちを表わさない|報いられない|忘恩的な|恩知らずの
rosewater	優雅な
paraquat	パラコート
pudge	a short fat person
amblyopia	弱視
stringency	(規則などの)厳格さ|厳重さ|(金融界の)切迫|金詰まり|(議論などの)説得力|もっともらしさ
sublimity	荘厳さ
enticement	(悪への)誘惑|誘惑するもの|えさ
conservatoire	=conservatory2
