comfy,快適な
paternalistic,父性的な
approx,およそ
paternalism,家父長主義
tirade,激しい非難
elucidation,解明
jackal,ジャッカル
nauseate,吐き気を催させる
longing,切望
foetus,胎児
cofactor,補因子
amylase,アミラーゼ
resurrect,蘇らせる
candor,率直さ
divider,仕切り
infective,感染性の
subparagraph,小見出し
scuttle,急いで走る
blazer,ブレザー
correlative,相関関係の
protectionist,保護主義者
pyre,火葬用の柴
terse,簡潔な
pagoda,パゴダ（塔）
unawares,不意に
accede,応じる
hark,聞く
obtuse,鈍い
kindle,火をつける
watercourse,水路
edgy,神経質な
mitotic,有糸分裂の
cacophony,不協和音
coarsely,粗く
broach,話を切り出す
flashy,けばけばしい
incendiary,放火の
perfunctory,いい加減な
pharynx,咽頭
cayenne,カイエンペッパー
interventionist,介入主義者
courtier,宮廷人
linker,連結装置
ooze,染み出る
duvet,羽毛布団
reflexively,反射的に
botany,植物学
clad,覆われた
incalculable,計り知れない
receptivity,受容性
deceleration,減速
flamboyant,華やかな
neckline,襟ぐり
lanky,ひょろ長い
matrimony,結婚
chronologically,年代順に
yew,イチイ（木の名）
reminisce,思い出す
flammable,可燃性の
sulfuric,硫黄の
efflux,流出
stealthy,こっそりした
slink,こそこそ歩く
heavyweight,ヘビー級
willfully,故意に
tablespoonful,大さじ1杯分
hiatus,中断
customization,カスタマイズ
drool,よだれを垂らす
historicity,歴史的真正性
terrify,怖がらせる
anvil,金床
mismanagement,管理不行き届き
unconstrained,束縛されない
brilliancy,輝き
och,おや（スコットランド方言）
dispenser,ディスペンサー（分配器）
untidy,散らかった
commendation,賞賛
unsupported,支持されていない
weaver,織工
betrothal,婚約
lodger,下宿人
rink,リンク（スケート場など）
habeas,人身保護（法）
sunscreen,日焼け止め
nitrous,亜酸化窒素の
shanty,掘っ立て小屋
plutonium,プルトニウム
loo,トイレ（俗語）〈イギリス英語〉
indwell,内在する
polyurethane,ポリウレタン
denominational,宗派の
intricately,複雑に
argon,アルゴン
coy,恥ずかしがるような
viceroy,総督
chum,友達（くだけた言い方）
commutative,可換の
promiscuous,乱交の|無差別な
evidential,証拠の
starkly,はっきりと
doorman,ドアマン
maidservant,メイド
illegality,違法性
axonal,軸索の
hamstring,ハムストリング|妨げる
missive,書簡
finery,華美な服装
sceptic,懐疑論者（英）
omniscient,全知の
padre,神父（軍の牧師など）
riser,立ち上がるもの
retinopathy,網膜症
providential,天の配慮による
contraption,奇妙な装置
overrule,却下する|覆す
summarily,即座に
subtilis,バチルス・サブチリス（微生物名）
acyl,アシル基（化学用語）
quickness,迅速さ
amortization,償却
warship,軍艦
aviator,飛行士
peppermint,ペパーミント
amniotic,羊膜の
wriggle,くねらせる|もがく
unconvinced,納得していない
unbelievably,信じられないほどに
prohibitive,法外な|禁止するような
toothpick,つまようじ
incandescent,白熱の|輝くような
ligation,結紮（けっさつ）
elegy,哀歌
scruple,良心の呵責
linguist,言語学者
proportionally,比例して
nostril,鼻の穴
strident,耳障りな
chateau,シャトー（城・ワイナリー）
lengthwise,縦方向に
obtainable,入手可能な
threadbare,擦り切れた
nodular,結節性の
cleric,聖職者
pharmacologic,薬理学的な
maxilla,上顎骨
inflationary,インフレを引き起こす
puree,ピューレ
thrall,隷属|虜
resumption,再開
hedgehog,ハリネズミ
proportionately,比例して
cutlery,食器（特にナイフ・フォーク類）
unguarded,無防備な
annulment,無効化（特に婚姻の）
loath,気が進まない
republicanism,共和主義
rightness,正しさ
supernatant,上澄み液
emanation,放出|発現
chivalrous,騎士道的な|礼儀正しい
garter,ガーター
drily,乾いた調子で|冷淡に
firepower,火力
spiteful,意地悪な
settee,長椅子
billiard,ビリヤード
schematically,図式的に
whosoever,誰であっても
secretariat,事務局
heirloom,家宝
takeaway,持ち帰り
obligate,義務づける
inborn,生まれつきの
renovate,改装する
soggy,びしょぬれの
bronchitis,気管支炎
fractionation,分別
moron,間抜け
carbonic,炭酸の
sheaf,束
pretest,予備試験
protectionism,保護主義
hydrocephalus,水頭症
exhilaration,高揚感
purposive,目的のある
goad,駆り立てる
midsummer,真夏
reschedule,再調整する
sugary,甘ったるい
anathema,忌み嫌うもの
fastidious,潔癖な
orchid,ラン
archivist,記録管理者
airspace,領空
binding,拘束力のある
stingy,けち
gatekeeper,門番
methylene,メチレン
imperceptibly,気づかれずに
theta,シータ（θ）
nondescript,特徴のない
attestation,証明
backtrack,引き返す
flaunt,誇示する
chitin,キチン（成分）
offshoot,派生物
reticent,無口な
guillotine,ギロチン
skunk,スカンク
comp,無料提供品
keyhole,鍵穴
ado,騒ぎ
regionalism,地方主義
doorframe,ドア枠
demography,人口統計
interrogative,疑問の
soberly,真面目に
sidelong,横目の
dealership,販売代理店
martini,マティーニ
glycemic,血糖の
vertebra,椎骨
helpfully,親切に
horticultural,園芸の
peaceable,平和的な
untoward,好ましくない
unearthly,異様な
luminescence,発光
abort,中止する
prow,船首
tracheal,気管の
teaspoonful,小さじ1杯
swat,ピシャリと打つ
parasol,日傘
artichoke,アーティチョーク
convulsive,けいれん性の
headstone,墓石
omnipotence,全能
indestructible,壊れない
colonize,植民地化する
cobbler,靴修理屋
neutralization,中和
filing,書類整理
breakout,脱出
microbiological,微生物学的な
artisanal,職人の
uninsured,無保険の
mulatto,混血児（白人と黒人）
preeminent,卓越した
electrician,電気技師
gamut,全範囲
pyruvate,ピルビン酸
fireside,暖炉のそば
thug,暴漢
naturalization,帰化
volleyball,バレーボール
indomitable,不屈の
totalitarianism,全体主義
petrochemical,石油化学製品
rediscover,再発見する
sluice,水門
