the,その
of,〜の
and,そして
to,〜へ
a,ある|1つの
in,〜の中に
be,〜である|いる
that,あれ|それ
for,〜のために
it,それ
not,〜でない
with,〜と一緒に
as,〜として|〜のように
on,〜の上に
have,持っている
you,あなた|あなたたち
he,彼
her,彼女|彼女の
by,〜によって|〜のそばに
at,〜で|〜に
can,〜できる
will,〜するつもりだ
from,〜から
do,する
or,または
this,これ|この
but,しかし
she,彼女
they,彼ら|彼女ら|それら
which,どちら|どれ|〜するところの
my,私の
their,彼らの|彼女らの|それらの
one,一つ|ある一人
all,すべての
we,私たち
him,彼を|彼に
me,私を|私に
out,外に|外へ
up,上に|起きて
time,時間
so,とても|だから
other,他の
see,見る|会う
about,〜について
who,誰|〜する人
know,知っている
them,彼らを|彼女らを|それらを
into,〜の中へ
when,いつ|〜するとき
what,何|〜すること
there,そこに|ある
if,もし〜なら
may,〜かもしれない
take,取る
your,あなたの|あなたたちの
no,いいえ|〜ない
like,〜のような|好き
well,上手に|元気な|ええと
go,行く
also,〜もまた
get,得る|〜になる
than,〜よりも
think,考える
come,来る
only,〜だけ|唯一の
little,少しの|小さい
work,働く|仕事
some,いくつかの
man,男
make,作る|〜させる
shall,〜しましょうか|〜すべきである
then,それから|そのとき
over,〜の上に|終わって
give,与える
way,方法|道
such,そのような
these,これら
our,私たちの
back,後ろ|戻る
use,使う
any,いくつかの|どれでも
even,〜さえ|平等な
just,ちょうど|単に
through,〜を通して
how,どのように
first,最初の
want,欲しい|〜したい
need,必要とする
hand,手
day,日|一日
between,〜の間に
say,言う
now,今
long,長い
where,どこ
down,下に
before,〜の前に
right,正しい|右
very,とても
us,私たちを|私たちに
because,なぜなら
good,良い
life,人生|生活
look,見る|見える
here,ここに|ここで
much,たくさんの|非常に
own,自分自身の|所有する
place,場所|置く
many,たくさんの
new,新しい
those,あれら
show,見せる|示す
become,〜になる
off,離れて|停止して
high,高い
still,まだ|静かな
change,変える|変化
same,同じ
both,両方の
must,〜しなければならない
too,〜もまた|あまりに〜すぎる
case,場合|事件|容器
head,頭|指導者
each,それぞれの
system,システム|制度
state,状態|州|述べる
part,部分|役割
et,そして（フランス語由来）
face,顔|直面する
great,素晴らしい|大きな
al,〜たち（ラテン語由来）
while,〜の間に|一方で
point,点|指摘する
around,周囲に|約
never,決して〜ない
doe,雌鹿
old,古い|年を取った
world,世界
help,助ける
far,遠い
form,形|形成する
again,再び
study,勉強する|研究
different,異なる
process,過程|処理する
under,下に
set,設定する|一式
without,〜なしで
end,終わり|終える
away,離れて
find,見つける
open,開ける|開いている
another,もう一つの|別の
something,何か
result,結果
love,愛|愛する
against,〜に反対して|〜に対して
provide,提供する
body,体|本体
understand,理解する
keep,保つ|〜し続ける
order,命令|注文|順序
few,少しの|ほとんど〜ない
mean,意味する|卑劣な
large,大きい
small,小さい
group,集団|グループ
power,力|電力
example,例
close,閉じる|近い
move,動く|動かす
family,家族
question,質問
name,名前
water,水
value,価値
live,生きる|住む
last,最後の|続く
side,側
every,すべての
level,水準|段階
room,部屋|余地
present,現在の|出席している|贈り物
always,いつも
social,社会の
increase,増える|増加
within,〜の中に|以内に
house,家
home,家|家庭
human,人間
let,〜させる
person,人
early,早い
during,〜の間に
country,国
low,低い
run,走る|運営する
upon,〜の上に
experience,経験
light,光|軽い
