warthog	イボイノシシ
toiler	働き者;労働者
chimneypiece	=mantelpiece
deuteron	重陽子(重水素の原子核)
electrodynamic	電気力の;電気力学の
godchild	名付け子(洗礼で名付け親から名を付けられる子)
insole	靴の敷き皮
arnica	〈C〉アルニカ(キク科の植物)|〈U〉アルニカチンキ(アルニカの花・根を原料とする打撲・捻挫(ねんざ)の治療液)
adenoviral	アデノウイルスの
pilothouse	(船の)操舵(そうだ)室
menstruate	生理がある
cultist	熱狂的な人|狂信者
whew	ひゃぁ!|ヒャア|ヘエッ
autobiographer	自叙伝作者
chickweed	ハコベ(白い小さな花の咲くナデシコ科の低木)
orthopedist	整形外科医
proclaimer	(公式の)宣用者|公布者|言明者
scintilla	微量(の〜);(〜の)気味《+『of』+『名』》
sightsee	観光旅行をする|見物する
blackball	〈人が組織の一員になること〉‘に'反対投票する|〈人〉'を'排斥する|村八分にする|反対投票[古代ギリシアで黒い球で反対の意を表したことから]
scrollwork	うず形装飾|雲形模様
windage	弾丸に与える風の影響|偏流|(弾丸の)偏流度
fishtail	(車の後部などが)左右に横滑りする|(飛行機が)尻振り滑空する
baldric	(昔の)飾り帯(剣・角笛などをつるすために肩から腰へ掛ける皮帯)
dandify	〜'を'めかしこませる
reposeful	安らかな|平隠な|落ち着いた;ゆったりした
marquetry	(家具などの)はめこみ細工|象眼細工|寄せ木
radiogenic	放射能物質の崩壊で生じた
brouhaha	(brúːhɑːhὰː)|世論の沸騰|大騒ぎ
godhood	神格|神性
mesosphere	中間圏(地表約40から80キロメートルの所に広がっている大気層)
mansard	(またmansard roof)マンサード屋根|二重こう配屋根|マンサード屋根下|屋根裏部屋
discography	ディスコグラフィー|椎間板造影(法)
appal	=appall
chromo	多色石版刷りの絵
saguaro	サグワロサボテン(非常に大きなサボテンで|アメリカ合衆国西南部・メキシコに産する;白色の花をつけ|実は食用となる)
underdone	(食べ物が)生煮えの;(肉が)生焼けの
traduce	《文》〈人・性格など〉‘を'非難する|中傷する
wiener	ウィンナソーセージ(語源|Vienna|Austria)|フランクフルト|ホットドッグ
backstroke	打ち返し|逆手(さかて)打ち|(またback crawl)背泳
cliche	(陳腐な)決まり文句|月並みな考え
dinnerware	食器類
hatpin	婦人帽の留め針
underthings	女性用下着(underclothes)
dishearten	落胆させる
farrago	寄せ集め|ごたまぜ
indestructibility	破壊できないこと|不滅
presbyopia	[老人性]遠視|老眼
cauterize	(医)(傷口などを)焼灼(しょうやく)する|(良心･感情)まひさせる
bambino	赤ん坊|幼い子|幼いキリストの像(画)
litchi	レイシ(中国産の常緑小高木)|レイシの実(薄皮の白い実で甘い)
mewl	赤ん坊の泣き声|弱々しく泣く
backwoodsman	(米国・カナダなどの)辺境の未開拓地の住人;奥地の人
funfair	移動式遊園地|=amusement park
merchantable	販売用の|売り物になる
scummy	浮きかすの多い|下等な
troopship	軍隊輸送船
buss	(愛情表現)キス|キスをする
altruistically	利他的に
fingerboard	(弦楽器の)指板
harrumph	(わざとらしく|または異議を表明して)咳払いする|ぶっきらぼうに示す
uhh	うう
bloodsucker	吸血動物|ヒル(leech)|搾取者|高利貸し
maraca	マラカス(リズム楽器)
monomaniac	偏執狂[者]
stayer	根気強い人(動物)|がん張り屋
nasturtium	キンレンカ(黄や赤の花をつける園芸植物)
mickey	元気|誇り|ジャガイモ|をからかう|侮辱する|いじめる|ぺしゃんこにする
rheostat	加減抵抗器
solipsist	唯我論主義者|自己中心主義者
pannikin	《英・オーストラリア》パニキン(金属製の小さなカップ)
rearmost	最後尾の
reviser	校閲者|監修者;校正をする人|再履修者
bourse	(特に欧州の)株式(証券)取引所|金融市場
emptily	むなしく
novelette	感傷的な中編小説
illusionism	迷妄(めいもう)説(物質世界は錯覚にすぎないとする哲学論)|(目を惑わすための)だまし絵技法
pastern	繋(けい)(牛・馬などの脚のくるぶしとひづめとの間の部分)
tailcoat	燕尾(えんび)服
lade	〈特に|荷など〉‘を'積む|〜‘を'ひしゃく(スプーン)ですくう|荷を積む|ひしゃく(スプーン)ですくう
coloratura	コロラチューラ(声楽の装飾的高音部)|〈C〉コロラチューラソプラノ歌手
antipodean	(にとって)対蹠地の|(と)正反対の(to)
effendi	エフェンディ(トルコなどで用いた男性の敬称)
northeastward	北東へ(に)|北東の;北東へ向かう|北東;北東部
personate	(劇などで)〜‘の'役を演ずる|(だますため)〜‘の'ふりを装う|‘に'なりすます
halftone	〈U〉(美術・写真などの)暗部と明部との間の階調;中間調(色)|〈C〉(写真印刷の)網版(あみはん);網版画|半音
pullet	(1年未満の)めすのひな
acclivity	《まれ》上り坂
drier	ドライヤー|乾いた
formfitting	(衣服が)身体にぴったりと合った
jeremiad	(長い間の)悲嘆|恨みごと
myofibroblast	筋線維芽細胞
spacewalk	宇宙遊泳|宇宙遊泳する
besmirch	《文》〜'を'汚す
casuistic	決疑論的な|詭弁的な
flunkey	=flunky
tetrameter	四歩格(詩脚(foot)が四つある詩行)
allopatric	異所的な|異所的種分化(ギリシャ語allos=other|patris=fatherland)|同じ生物学的集団に発生する隔離的な種分化
bongo	ボンゴ(大小2つの片面太鼓をつなぎ合わせた打楽器|bongo drum)
jacaranda	ジャカランダ(熱帯アメリカ産の樹木)
intermix	混ぜる
anteater	アリクイ|ant-eater
arrack	アラック酒(東インド諸島などの強い蒸留酒)
oryx	オリックス(アフリカ産の大カモシカの種)
thistledown	アザミの種子の冠毛
beastie	小動物
dino	ディノ|恐竜(の)
styrofoam	スタイロフォーム(発砲スチロールの一種)
trinomial	三項[式]の|三項式
huffily	腹を立てて
nacre	=mother-of-pearl
ouzo	ウーゾ|ブランデーにアニス(地中海産のセリ)の香りをつけたギリシアの無色のリキュール
sphygmomanometer	血圧計|脈圧計
calve	〈雌牛が〉子を産む|〈氷河・氷山などが〉一部分離する
guidepost	道標|道しるべ|指針|指標
reredos	(教会の祭壇背後の)飾り壁|飾りつい立て
involucre	(花の茎部にある)総包|外被
legionnaire	《しばしばL-》米国在郷軍人会員|軍団員
quadripartite	4部から成る|四者間の
irenic	平和に資する|平和的な|協調的な
aerobe	好気性生物(空中の酸素を必要とするバクテリア類)
prat	まぬけ|ばか
corky	コルクの[ような]|《俗》元気のよい|浮かれた
plectrum	(ギター・マンドリンなどをひくための)つめ|ピック
borscht	ボルシチ|牛肉をビーツ･タマネギ･にんじん･キャベツなどの野菜で煮込みサワークリームを添えて食するロシアの煮込み料理
cosiness	=coziness
dextrous	=dexterous
mustachio	《複数形で》大きな口ひげ
semiprivate	(病室など2|3人で共有の)準個室の|半私用の
spinsterhood	(婦人の)独身|未婚
bouffant	フワフワした髪型|ふっくらした|膨れた|ダブダブした
elfish	小妖精のような;いたずらっぽい
metatarsus	中足(人間の足の|足首からつま先までの部分で5本の骨から成る部分;四つ足動物の後足|鳥の足の同じ部分)
openhearted	率直な|親切な
poisoner	コック|料理人|害毒を与える人|毒を使って害を与える者|毒殺者
umbel	散形花序
animatronic	アニマトロニクス(ロボットや機械を利用し|人の動きを再現すること)
scuttlebutt	(ˈskʌtəlbʌt)|うわさ|ゴシップ|飲料水入れ|水飲み場|噴水式水飲み|大樽
