lifesaver,救命具|救世主
kip,眠る|寝る（俗語）
calculative,計算高い|計算的な
hl,ヘクトリットル（容量単位）
trafficker,取引人|密売人
zee,Zの発音（米）
hauteur,高慢|尊大
runt,小さくて弱い動物
abrade,擦り減らす|擦りむく
unquiet,不安な|落ち着かない
plainclothes,私服の
unexampled,前例のない
suzerainty,宗主権
unrelieved,緩和されない|連続した
scurrilous,悪口の|下品な
downbeat,不吉な|ダウンビート
repeater,繰り返し機械|リピーター
elocution,話し方|朗読術
carburetor,キャブレター
warhorse,戦闘用馬|老兵
semitone,半音
tragedian,悲劇役者
episcopate,主教の職
mordant,辛辣な|皮肉な
alehouse,居酒屋
cushy,楽な|ぬるい
bassoon,ファゴット
hippy,ヒッピー
gridiron,格子状の鉄格子|アメフト競技場
grouchy,不機嫌な|気難しい
betide,起こる|降りかかる（古語）
subtractive,減法の
decimation,大量破壊
daguerreotype,ダゲレオタイプ（初期写真技法）
disunion,分裂
saccharine,甘ったるい|糖の
forewing,前翅
undies,下着（俗語）
comprehensibility,理解可能性
fecund,肥沃な|多産の
pardonable,許される
netherworld,冥界|地下世界
sacerdotal,聖職者の
debase,価値を下げる|堕落させる
peristaltic,蠕動の
phaeton,フェートン（軽馬車）
bearish,弱気の|熊のような
strychnine,ストリキニーネ（毒物）
invincibility,無敵
stanch,止める|止血する
imidazole,イミダゾール（化合物）
underemployed,過小就労の
acrostic,頭文字詩
diatomic,二原子の
sanctimonious,偽善的な|宗教的に見せかける
southbound,南行きの
olfaction,嗅覚
sass,生意気|口答え
favouritism,えこひいき
smokeless,煙の出ない
unclouded,曇りのない|澄んだ
rawhide,生皮
rosebush,バラの木
subdomain,サブドメイン
metalloproteinase,メタロプロテアーゼ（金属タンパク分解酵素）
unimpressive,印象に残らない
bream,鯛|ブリーム（魚名）
communalism,共同体主義
schismatic,分派の|分裂者
pentagram,五芒星
recitative,レチタティーヴォ|語り歌
haddock,タラの一種
reciprocation,報酬|相互作用
sirloin,サーロイン肉
tympanum,鼓膜|鼓室
benzoate,安息香酸塩
knickknack,小さな装飾品
classless,階級のない|無階級の
dropper,点眼器|落とすもの
hindquarter,後肢|後ろ半身
improv,即興演奏
multitask,多重作業する
unstained,汚れていない
etymologically,語源的に
abbreviate,短縮する
roundhouse,円形の家|回し蹴り
wah,ワー（感嘆詞）
inclose,囲う（古語）
fissile,核分裂性の
tactician,策略家|戦術家
aquamarine,アクアマリン|海の青色
hallow,神聖にする
gaff,漁具|策略
beardless,無ひげの
organochlorine,有機塩素化合物
copulate,交尾する
cambric,カムブリック（薄手の綿布）
syndromic,症候群の
salubrious,健康に良い
pigtail,おさげ髪
mischance,不運
quayside,波止場|埠頭
ectoderm,外胚葉
bil,請求書（俗）
oleander,キョウチクトウ
sandbag,砂袋|攻撃する
turning,旋盤加工|回転
electroencephalogram,脳波計
accumulative,蓄積する
longsuffering,辛抱強い|忍耐強い
noisome,不快な|悪臭のある
motet,モテット（宗教曲）
endonuclease,エンドヌクレアーゼ
translatable,翻訳可能な
octogenarian,80歳代の人
jag,突発的な衝動|連続
flagstone,敷石
abacus,そろばん
serviceability,使用可能性|実用性
eyeglass,眼鏡
halcyon,平穏な|幸せな
caballero,騎士
parliamentarian,議会主義者
offbeat,変わった|独特の
superannuation,年金
toddy,トディー（酒類）
acme,頂点|最高点
printable,印刷可能な
bobcat,ボブキャット（山猫の一種）
menthol,メントール
polarize,分極化する
hardihood,勇気|大胆さ
gerbil,ジャービル（小型齧歯類）
easternmost,最も東の
tearoom,喫茶店
worktable,作業台
cupid,キューピッド|愛の神
underling,部下|下位者
heterozygosity,異質接合性
washing,洗濯|洗浄
spirochete,スピロヘータ（螺旋菌）
antipyretic,解熱剤
airtime,放送時間|電波時間
closing,閉鎖|終了
poliomyelitis,ポリオ|小児麻痺
fuchsia,フクシア（花の名前）
fungible,代替可能な
liberalize,自由化する
astrocyte,星状細胞
conquistador,征服者
sympathizer,支持者|共感者
unadjusted,調整されていない
unscrew,ねじを外す
overcharge,過大請求
whaler,捕鯨船
renter,借主|賃借人
cohabit,同居する
deface,損なう|汚す
vertiginous,目眩がするような
sierra,山脈|のこぎり山
reissue,再発行
chorea,舞踏病|コレア（神経疾患）
pullover,プルオーバー|セーター
forswear,誓ってやめる|断言する
wank,自慰（俗）
photogenic,写真写りの良い
gladiatorial,剣闘士の|戦いの
penetrative,貫通力のある
naysayer,否定者|反対者
hybridize,交配させる|雑種にする
effeminacy,女性的な特徴
magnesia,マグネシア|酸化マグネシウム
cloaca,総排泄腔
bestiality,獣姦
herculean,非常に困難な|ヘラクレスのような
radiometric,放射測定の
pedophile,小児性愛者
aftertaste,後味
carious,虫歯のある
debonair,上品な|気さくな
acclimatization,順応|慣れ
washstand,洗面台
perm,パーマ
poach,密猟する|盗む
insubordinate,反抗的な
