plotz	(俗)驚く|カッとなる|頭に血が上る|驚いて卒倒する
disbeliever	(言葉や人を)信用しない人;信仰しない人
emblazon	(紋章などで)〜‘を'飾る|〜‘を'ほめそやす
circumlocution	まわりくどさ|婉曲な言い方|言い抜け|遠回し
queenly	『女王の』;『女王のような』;女王にふさわしい
superficies	表面|外面;外観|体裁
preppie	プレッピー|私立学校の生徒|私立学校の生徒風の|金持ちそうな
coequal	(地位・能力・権力などが)同等の人|同等の|同格の;(〜と)同等の《+『with』+『名』》
suzerain	(封建時代の)領主|宗主国(他国の外交に対して支配権を持つが|内政は許す)
ideogram	表意文字
connive	黙視する|共謀する|黙認する
exegete	(特に)聖書解釈学者
unchaste	身持ちの悪い|不貞な|ふしだらな
exculpate	無罪にする|の無罪を証明する|の無実の罪を晴らす
broadways	横に|横向きに
indispensability	欠くことのできないこと|必要不可欠
confounder	交絡因子|(統計モデルの中の従属変数と独立変数の両方に相関する外部変数)
juiciness	汁の多いこと|水分の多いこと
pliability	(物の)柔軟さ|(性質・性格の)柔軟さ|柔順
schoolchild	学童
blastoff	(ロケット・ミサイルなどの)打ち上げ(lift-off)
entablature	(ギリシア・ローマ建築の)エンタブラチュア(柱頭の上に載っている水平部分)
adjure	《文》〈人〉‘に'厳命する|請願する;(〜するよう)〈人〉‘に'厳命する《+『名』+『to』 do》
videlicet	すなわち({略}viz.)
insouciant	のんきな|むとんじゃくな
obstreperous	騒々しい;手に負えない
potshot	手当たり次第の射撃
espalier	果樹だな(格子)(果樹などをからませる)
hereditament	(法律で)相続(世襲)財産(特に不動産)
counterfeiter	にせ金造り;偽作者
unlikelihood	ありそうもないこと|見込みのないこと
navvy	土木労働者|土方|土工
counterstained	対比染色
houseful	(〜の)家いっぱい[の量|数]《+『of』+『名』》
pennywort	イワレンゲの一種;小さな丸い葉をもった植物
phrasing	言葉遣い
tossup	〈C〉《単数形で》(表裏どちらかが出るか)硬貨をほうり上げること|〈U〉《しばしばa ~》《話》五分五分の見込み
tutelary	(人・物の)保護者(後見人)の地位いある|保護(後見)の
hindmost	いちばん後ろの|最後部の
drycleaner	(また『dry cleaner's』)ドライクリーニング屋(店)|ドライクリーニング屋の職人|ドライクリーニング用剤(ベンジンなど)
monkish	修道僧の|坊さんくさい|修道院じみた
turbaned	ターバンを巻いた
romanticist	(文学・絵画・音楽などの)ロマン主義者
joggle	〜‘を'軽くゆすぶる|揺れる|軽い揺れ(揺さぶり)|振動
bedroll	(戸外用の)携帯用寝具|寝袋
prorogue	〈議会〉‘を'停会にする
zaftig	(米俗)(女性が)ふくよかな体をした|性的魅力のある
aquavit	=akvavit
watering	散水|潅水|撒水
discontentment	=discontent
telephonist	電話技師;電話交換手
pyrexia	発熱;熱病
shamble	よろよろ歩く|よろめき
idiotically	ばかげたことに|愚かにも
electroporated	エレクトロポレーション(電気穿孔)された|－の
lawbreaking	法律を破ること|法律違反の
antipoverty	貧困救済(絶滅)を目指す
ambulate	歩き(動き)まわる
flageolet	フラジョレット(小型の縦笛式木管楽器)
picnicker	ピクニックする人|行楽者
misfile	〈書類など〉‘を'誤ってとじる
xebec	3本マストの小型帆船(昔|地中海で海賊が使用した)
heartiness	元気よさ|熱心
carryon	(手荷物が)機内に持ち込める|機内持込み手荷物
gyrfalcon	シロハヤブサ(北極圏に住む大タカ)
backdate	(〜にまで)〜‘の'日付をさかのぼる《+『名』+『to』+『名』》
sulkily	ふくれて|すねて
philanderer	恋愛遊戯にふける男|女たらし
ceriodaphnia	ミジンコの種類
interferer	干渉者|妨害者
recoilless	はね返りのない
impecunious	無一文の(penniless)|貧乏な
vaudevillian	寄席芸人|形演劇俳優|寄席演芸の
perspicacious	(人が)鋭い観察力(判断力)のある|理解力のある;(判断などが)先見の明のある|明敏な
geminate	〜‘を'二重にする|対(つい)にする|二重になる|対になる
snaky	蛇の;蛇のような;うねうねした|蛇の多い|蛇がよく出る|ずるい|陰険な|邪悪な
knothole	節穴(ふしあな)
bathos	(béɪθɑs)|急落法|漸降法(荘重な調子を急にこっけいに落とすもの)|ふまじめな|わざとらしい感傷
confessedly	自白によると|本人の認めるように
cabdriver	タクシー運転手
undermentioned	下記の|後述の
beechnut	ブナの実(食用油・調味料などをとる)
seism	地震
bootlick	‘に'おべっかを使う|追従(ついしょう)する|おべっかを使う|追従する
retroflex	そり返った|反転音の(舌先を上にそらせ発音する)
controvert	〜‘に'反論する|論ばくする
eyetooth	犬歯|糸切り歯
mainmast	(帆船の)大檣(しょう)|メーンマスト
disquisition	(長いまたは長ったらしい)論文|論考
preganglionic	神経節前の
tartly	厳しく|辛らつに
loganberry	ローガンベリー(木いちごの一種)
mossback	頭の古い人|こちこちの保守派
tenebrous	(また tenebrious)|暗い|陰気な
recrudescence	(病気･犯罪などの)再発|ぶり返し|再燃
greasepaint	ドーラン|(俳優の用いる)化粧用塗油
grunion	イワシ科の食用魚
cofferdam	防水せき
unexceptionable	非の打ちどころがない|申し分のない
knobbly	=knobby
offish	よそよそしい
babyish	赤ん坊じみた
bucketful	バケツ1杯(の〜)《+『of』+『名』》
arteriole	小動脈
inhumanly	不人情に|冷酷に
respire	呼吸する
crosspiece	横材|横木|桟(さん)
fuddle	(ウイスキーなどで)〈人|人の意識〉‘を'もうろうとさせる|意識がもうろうとすること|思考の混乱
dentifrice	歯みがき粉|練り歯みがき(toothpaste)
stentorian	大声の
fortifier	築城家|強化する人(物);強化剤
deliveryman	(客の購入品・注文品の)配達員
foible	弱点|短所|欠点
reasonability	道理にかなっていること|正当性|妥当性
airmobile	(ヘリコプターを装備した)空挺部隊の
pitchman	大道商人
quadripartite	4部から成る|四者間の
whaleboat	(オールでこぐ)海難救助船[もと捕鯨船だった]
hydrostatics	静水学|流体静力学
questioning	探求的な|詮索好きの|尋問|取り調べ|不審尋問|疑わしげな
sportsmanlike	スポーツマンらしい|公明正大な
joyfulness	うれしさ
aerofoil	=airfoil
thereabout	その近くで(に)|そのころ|およそ～ほど
polysyllabic	(単語が)多音節の|多音節語を特徴とする
cohesin	コヒーシン|姉妹染色分体の接着(複製された染色体を娘細胞に均等に分離する過程|sister chromatid cohesion)に主要な役割を果たすタンパク質複合体
fratricidal	兄弟･姉妹殺しの|相争う
decipherable	判読できる|解読できる
coquetry	〈U〉(女が男に)こびを売ること|〈C〉こび|しな|なまめかしさ
baldric	(昔の)飾り帯(剣・角笛などをつるすために肩から腰へ掛ける皮帯)
intein	DNAのスプライシング(splicing|転写)の際|タンパク質分子で自動的に切除された部分をインテインといい|残った部分(エクステイン)がペプチド結合で再結合される
ropy	ひどい[状態の]
cursorily	苦労することなく|ざっと|＜cursory(急ぎの|ざっと)
antineutrino	反中性微子
wifely	妻らしい|妻にふさわしい
quibbler	言い逃れる人
pusillanimous	気の弱い|臆病な
amus	愛|愛する|好き
formidably	恐ろしく;手ごわく;非常に
pianola	ピアノラ(自動ピアノの一種;商標名)
effulgent	さん然と輝く|光り輝く|まばゆいばかりの
eiderdown	〈U〉ケワタガモの綿毛|〈C〉(その綿毛を詰めた)羽根ぶとん
odoriferous	かんばしい|かぐわしい
slipperiness	滑りやすいこと;(滑って)つかみにくいこと
butterfingers	よく物を手から落とす人　下手な野球選手|無器用な人
paperhanger	壁紙張り職人
quadruplicate	四部複写
insensate	感覚(生命)のない|感受性(思いやり)のない|無情な;(〜に)感受性がない《+to+名》|理性を欠いた
osculate	接吻(キス)する|〜‘に'接吻(キス)する
causeless	原因のない;理由のない|いわれのない
drollery	〈U〉おどけ|こっけいさ|〈C〉おどけた動作|冗談
croquette	コロッケ
animalism	獣性;獣欲主義|人間動物説(人間の霊性を否定する説)
manhandle	人力で動かす(運転する)|手荒く扱う|虐待する
gravamen	告訴の主要点|苦情|不満|陳情書|不平
shebeen	もぐり酒屋;安酒場
preovulatory	排卵前の
moquette	モケット(じゅうたんや家具のおおいを作る厚い毛織物)
unprecedentedly	先例なく|前代未聞に|前例のないほどに
sententious	《今はまれ》(表現が)簡潔な(pithy)|(文体などが)説教調の|もったいぶった|金言(警句)の多い
switchman	(鉄道の)転轍(てんてつ)手(《英》pointsman)　ポインツマン　ポイントマン
remediable	治療できる|取り返しのきく|救済できる
embalm	香気を満たす|(死体に)防腐処理する
philatelist	切手収集家|切手研究家
cosiness	=coziness
vacuolation	(生命科学)空胞形成|液胞化|空胞化|胞化
tallboy	=highboy
messily	取り散らかして|ごたごたと
descry	〈遠くのもの・はっきりしないもの〉‘を'目を凝らして認める(進行形にできない)
inseparability	分離できないこと|不可分
complaisance	人を喜ばそうとする気持ち;愛想のよさ
imponderable	計れない|評価できない|(熱・光などの)不可量物
cilium	『cilia』の単数形
exclamatory	感嘆の
drayman	荷馬車屋
elfish	小妖精のような;いたずらっぽい
dogtooth	犬歯|糸切り歯
truckle	(〜に)ぺこぺこする《+to+名》
axotomy	軸索切断(外傷などにより神経細胞の軸索が切断されること)
gabble	訳の分からないことを早口にしゃべる《+『away』(『on』)》|〈言い訳など〉‘を'訳が分からないほど早口で言う《+『out』+『名|』+『名』+『out』》|早口で訳の分からないおしゃべり
absentminded	放心した|ぼんやりしている|忘れっぽい
smokiness	煙だらけ
tyrannous	暴君のような;暴虐の|残酷な
swarf	(金属やプラスチックなどの)削りくず
sacking	解任|解雇|首にすること|かばんや袋に使用される硬い布地
slanderer	中傷者|悪口を言う人
admix	(〜と)〜'を'混合する《+『名』+『with』+『名』》|混合する|まざる(mix)
monosyllable	単音節語
sluggard	怠け者|無精者
choirboy	少年聖歌隊員|純真でうぶな少年|まじめな新米警官
conniption	ヒステリーの発作|かんしゃく
marrowbone	(だしを取る料理用の)髄骨
grandiloquent	(話し方・文章が)ぎょうぎょうしい|大げさな
timeworn	年月を経て古びた;使い古した|陳腐な|ありふれた
participial	分詞の
bogg	排水不良な湿原|沼地
centavo	センタボ(スペイン語・ポルトガル語を話す国の硬貨;1|100ペソ)
homophone	異形同音異義語
threadlike	糸のような|細長い|ほっそりした
unessential	本質的(重要)でない|本質的(重要)でないもの
earthward	地球(地面)に向かう|地球(地面)に向かって
diplomatist	外交的手腕のある人|《まれ》=diplomat
emancipator	解放者
toothsome	(食物が)うまい|おいしい
barefaced	素顔の|公然の|恥知らずな
doorpost	=doorjamb
calk	=caulk
editorialist	論説委員
loutish	ぶこつな|無作法な
ashcan	《米》(金属製の)灰入れ|ごみ入れ
biculturalism	(同一国内に)二文化の共存
bleb	(小さな)水ばれ|水疱(大きいのはblister)|(水|ガラスの中の)泡|気泡
pryer	=prier
cornball	=corny
subcapsular	被膜下の
refashion	形直しする|改造(改装)する
unisexual	(動植物が)単位の|雌雄いずれかの器官しかない
ofttimes	=often =oftentimes
steersman	舵手(だしゅ)|かじとり|(自動車などの)運転手
caitiff	《古》卑劣な人|卑怯者
tuneless	調子はずれの|音楽的でない|(楽器が)音の出ない
scoria	〈U〉鉱滓(こうさい)|かなくそ|〈U〉〈C〉岩滓(噴石状の溶岩)
diametric	=diametrical
extortionist	=extortioner
overvalue	過大評価|過大評価する|買いかぶる
demodulate	(無線で)〈電波〉‘を'検波する|復調する
raceme	総状花序(フジ・スズランなどのふさ状の花のつき方)
aspersion	中傷
rudiment	《the rudiments》(〜の)初歩|基本|原理《+『of』+『名』》|《the rudiments》(〜の)きざし|芽ばえ|初期《+『of』+『名』》|〈C〉(生物の)痕跡器官|退化器官
embroil	(紛争など)に巻き込まれる|巻込む|混乱させる
hartal	(インド・パキスタンで)同盟閉店|同盟休業|ストライキ
pennon	槍旗(三角形または燕尾(えんび)形で騎士が槍につけた)|(一般に)旗
athirst	(〜を)渇望して(eager)《+『for』+『名』》|《おもに詩》のどがかわいて(thirsty)
debilitate	〈病気などが〉〈人・体〉'を'衰弱させる
nimbleness	すばやさ|敏しょう
tickertape	株式相場表示機(ticker)から刻々出てくるテープ
soapsuds	=suds 1
disarrange	〜‘を'乱す|混乱させる
rancidity	いやなにおい(味)のすること|いやなにおい|悪臭;いやな味
downregulate	下方制御する|減少させる|ダウンレギュレートする
anchorite	隠者|世捨て人|隠世者(hermit)
upshift	(自動車の)ギアを高速伝動に入れる|ギアを高速伝動に入れること　シフトアップ　シフトアップする
spitball	紙つぶて|スピットボール(野球でボールにつばをつけて投げる変化球;現在は反則)
middleclass	中流階級|中産階級|中流階級の|中産階級の
abeam	(海事用語で)(〜の)真横に《+『of』+『名』》
prosecutable	起訴(告訴)される[べき]
miry	泥だらけの;泥沼の
bureaucratically	官僚的に
fanlight	(ドアや窓の上にある)小窓|扇窓|《英》=transom
semiprivate	(病室など2|3人で共有の)準個室の|半私用の
clepsydra	水時計
highflying	高く飛ぶ|野心的な
abasic	脱塩基
belligerency	=belligerence
hospitalize	入院させる
eponym	名祖|名前の由来となった名|冠名
teletubby	テレタビーズ|イギリスのBBCで1997年から放送され|120カ国以上の国で視聴されている幼児向けテレビ番組
dipswitch	ディップスウィッチ(車のヘッドライトの光を下方の下げる装置)
backpedal	逆にこぐ|(ボクサーが)さっと引く|態度を翻す
cloy	あきあきさせる|満腹させる|飽きあきさせる
arteriosclerotic	動脈硬化[症]の
rainproof	防水の
phantasmal	《おもに文》幻の|空想の
vaunt	自慢|誇示する
greatcoat	(厚地で重い)外とう
subclone	サブクローン(生化学)|あるベクター(媒介者)でクローン化したDNA断片を他のベクターへ移すこと
unmeaning	無意味な|くだらない・(顔・表情などが)うつろな
hairnet	ヘアネット
untrodden	踏まれていない|前人未踏の
nerveless	勇気のない|意気地のない|力のない(weak)|冷静な|落ち着いた(calm)|神経のない;葉脈(翅脈)のない
zonked	酔った|うっとりした
regnant	君臨する|支配している
lunate	三日月形の
frump	(特にオールドミスなど)流行遅れの服装をしている女性
tuque	トーク(カナダで冬用に用いる毛糸の筒形の帽子)
gaberdine	〈C〉(中世に特にユダヤ人が着用した)ゆるやかな長い男物の上着|=gabardine
quondam	元の|以前の
proem	序文|緒言
raillery	(悪意のない)ひやかし|からかい
hyperthermic	温熱
accordant	《補語にのみ用いて》(〜と)一致した|合致した《+『with』(『to』)+『名』》
breakfront	(飾りだんす・本箱などが)前面の中央部がせり出している|前面中央部がせり出した飾りだんす(本箱)
potage	ポタージュ(濃いスープ)
lawbreaker	法律違反者
pleasurably	楽しく|愉快に
episodically	挿話的に
traumatize	に外傷を負わせる|を傷つける|に損傷を与える|に精神的ショックを与える|に心の痛手を負わせる
washtub	洗濯だらい|洗濯おけ
extenuation	(罪などの)情状酌量
colonnaded	列柱のある
dumbwaiter	(レストランなどで調理場から階上へ料理を運ぶ)小型エレベーター(《英》food lift)|《おもに英》移動式食品台
contumacious	反抗的な|がんとして命令をきかない
extrusive	突き出す|押し出す|(岩石が火山から)噴出する
loftily	高々と|高尚に|高慢に
pilau	=pilaf
congruous	=congruent
carpus	手首|手首の骨
placidity	平静|平穏
tenterhook	(張りわくの)くぎ
sternwheeler	外輪船(船尾の外輪で推進する)
spiracle	(こん虫の)気門|気孔;(鯨の)噴水孔
enterocyte	腸細胞
hotheaded	向こう見ずの|せっかちな|怒りっぽい
sulfo	スルホ|硫黄(いおう)の意|スルホ基
offhandedly	ぶっきらぼうに|即座に|無造作に
underdone	(食べ物が)生煮えの;(肉が)生焼けの
matchlock	火縄銃
geniality	温情|親切で愛想のよいこと
lockstitch	(ミシンの)二重縫い
diaphoretic	発汗させる|発汗性の|発汗剤
castigation	厳しい非難|難色
stutterer	どもる人|口ごもる人
cycloid	円形の
flippancy	軽薄|軽薄な言葉(行為)
breastwork	胸閉(胸の高さまで築き上げた防壁)
pellucid	(ガラス・流れなどが)透明な|澄んだ|(表現・文体が)明りょうな|明白な
homoeroticism	同性愛
undernourishment	栄養不足(不良)
harebrained	(人・計画などが)気まぐれな|軽率な|向こう見ずな
bioethicist	生命倫理学者
zealousness	熱心|熱狂
oafish	愚かな;ぶざまな
foreknow	〜‘を'予知する|前もって知る
prodigality	浪費|放蕩|(いくら使っても尽きないほど)たくさんあること
positiveness	明白さ|確実性;確信
euchromatic	(遺伝学)真正染色質の
incommunicable	伝達できない|話せない
freshet	(降雨・雪解けのための)出水|(海に注ぐ)淡水の流れ
deflower	〜‘の'花をもぎ取る|〈処女〉'を'犯す
canvasser	(選挙などの)運動員|(販売などの)勧誘員
livelong	長々しい
scarify	(種痘などで)〈皮膚〉‘を'乱切する|乱刺する|《文》〜‘を'酷評する|こきおろす|〈土〉‘を'かき起こす
heavyset	やや太めの|がっしりした
educationist	=educator
salesgirl	女店員
rubberstamp	ゴム印|《話》めくら判を押す人
tactual	触覚の
wordbook	単語集;辞書|(歌劇・歌曲の)歌詞集
opprobrious	(行為が)不名誉な|(言葉が)侮べつ的な|口ぎたない
proprietress	女性の経営者(所有者)
precipitant	まっさかさまに落ちる|大急ぎの|まっしぐらの
propitiatory	和解の|なだめる;きげん取りの
imbecilic	=imbecile
prizefighter	職業挙闘選手|プロボクサー
drearily	わびしく;気をめいらせて|退屈させて
inseminate	〈思想など〉‘を'吹き込む
telegenic	テレビ映りのよい|テレビ向きの|テレビうつりのよい
mistime	〜‘の'時機を誤る|(スポーツで)〈ボールなど〉‘を'打ち損なう
snowbank	雪の吹きだまり
contretemps	あいにくなできごと|意外な事故
inexpert	しろうとの;未熟な
sissified	=sissy
underplay	控えめな演技をする
machination	陰謀|たくらみ|策謀
transmogrify	(魔法のように)姿･性格を一変させる
snorer	いびきをかく人
hogtie	〈動物〉‘の'四つ足をいっしょに縛る|〈人〉‘の'手足をいっしょに縛る|《話》〜‘を'じゃまする|妨害する
immunoprecipitate	免疫沈降物
suicidology	自殺[医]学(自殺とその予防の研究)
oldster	老人|年配者
bloodmobile	移動採血車
straggly	落伍した
wolfsbane	トリカブト(キンポウゲ科の黄色の花をつける背の高い植物) = wolf's bane
peckish	腹のすいた
superscription	手紙などのあて名|上書き|表題|銘
sough	風がヒューヒュー鳴る||風がヒューヒュー鳴る音
entrepot	貨物の集散地|中央市場|倉庫
butterbean	アオイマメ|五色豆(米国南部産の種子の小さいライマメの変種)
housetrained	=housebroken|《おどけて》(人が)行儀のよい|きちんとした
khedive	(1867‐1914年にかけてトルコ政府派遣の)エジプト総督
pabulum	(珍しい)食物|栄養物|心を豊かにする糧(かて)
swineherd	(昔の物語で)豚飼い|養豚者
tessellate	〈床・舗道など〉‘を'モザイク模様にする;碁盤目状にする
unparliamentary	議院内の慣行に反する|議院内であるまじき言動をとる
disinter	(墓地から)〜‘を'掘り出す|発掘する
benumb	〜‘の'感覚を失わせる|'を'麻痺させる
carouse	痛飲する|飲み騒ぐ|飲みほす
muggins	ばか|まぬけ
cosmically	宇宙の原理に従って;広大無辺に
scilicet	すなわち|換言すれば
traduce	《文》〈人・性格など〉‘を'非難する|中傷する
adulterant	(品質を落とす)混ぜ物|混ぜ物をする
stickpin	スティックピン(ネクタイや飾りどめに使うピン;《米》tiepin)
repine	(〜に)不満足である|不平を言う|じれる《+『against』(『as』)+『名』》
biolab	バイオラボ|バイオ研究室
affricate	破擦音
drowsily	うとうとと|眠そうに
blowpipe	(俗)吹矢筒|トーチ|ライフル銃
mellowness	芳醇(ほうじゅん)|甘美;円熟|成熟
multiplicand	被乗数
plastron	プラストロン(フェンシング用の胸当て)
draughty	=drafty
gaoler	=jailer
sanctimony	殊勝らしく見せること|信心ぶること
microdissected	顕微解剖された
pamphleteer	パンフレットの著者(発行者)
onrush	突進;奔流
shirttail	ワイシャツのすそ(腰より下の部分)
oldish	いくぶん年をとった|やや年配の|古めかしい
acquaintanceship	=acquaintance 2
declamatory	大げさな|誇大な
elate	《受動態で》〜‘を'元気をつける|意気を高揚させる
oleaginous	油を含む|油からなる|油っぽい|油まみれの
catalepsy	強梗症(感覚喪失・硬直などのヒステリー症状)
reforest	〈森〉‘に'再び植林する|再植林する
appall	をぞっとさせる
paratroops	落下傘部隊
debone	〈鶏・あひるなどの肉〉から骨を取る
editorialize	意見を述べる|私見を交える|社説で論じる|編集者の意見を入れる
wicked	悪い|いたずらな|とてもひどい
loadstone	=lodestone
condemnable	非難すべき|とがめるべき
bromophenol	Bromophenol blueブロモフェノールブルー|pHが3|0から4|6の間で用いられる酸塩基指示薬|pHが3|0のときは黄色で|6では紫色となる
castellated	(銃眼つき胸壁のある)城造りの|城構えの
churchgoer	(きちんと･熱心に)教会に通う人
effluvium	臭気|悪臭
mispronunciation	発音の誤り|誤った発音
bestir	〈わが身〉'を'奮起させる
swearer	宣誓者|ののしる者
inapt	不適当な|適切でない;(〜に)適さない《+『for』+『名』》|《補語にのみ用いて》(〜が)へたな|不手際な《+『at』(『in』)+『名』》
bacteria	バクテリア
ninon	ニノン織り(軽いドレス用絹布)・薄絹
schoolmistress	女教師|女校長
surmountable	(困難・障害などが)克服できる;乗り越えられる
obloquy	(特に大勢の人から)非難|悪口|(非難・悪口で受けた)不名誉|汚名
cutpoint	カットポイント
profitless	もうからなし|利益の上がらない|むだな|無益な
bezique	ベジーク(2人以上で64枚のカードを用いて行うカードゲーム)
coryza	鼻カタル|鼻かぜ
anesthetize	麻酔する
acidify	酸性にする
confrere	(仏語)会員|同僚
lechery	好色
moralize	道徳を論じる
abstemious	(飲食物・享楽を)慎む|節制する;(食事が)節約した
rubdown	マッサージ
characterless	特徴のない|平凡な
cannonade	連続砲撃
fetlock	(馬の)けづめ毛|けづめの突起;球節(ひづめ上部の関節)
clannish	氏族の|一族の|党派的な|同族で固まった|排他的な
palmate	(葉などが)手のひらの形をした
alienable	(法律上所有権を)譲渡できる
scofflaw	法律をばかにする人|違反常習者
bellyache	《話》腹痛|ぶつぶつ不平を言う
preaching	説教
complaisant	愛想のよい|いんぎんな
votary	《文》(思想・主義などの)追求者|支持者|研究者|(特定の神・宗教の)信奉者|信者
doeskin	雌ジカの皮;雌ジカのなめし皮|ドスキン(ラシャ織りのウール地)
shoddily	安っぽく|見かけ倒しに
flossy	けばのような;軽くふわふわした
hoaxer	悪ふざけをする人
biconvex	(レンズなどが)両凸(とつ)の
capillarity	毛細管現象|毛状|毛管状
manageress	《おもに英》(商店やレストランなどの)女性経営者(支配人)
brochette	(料理用の)小ぐし|焼きぐし
waviness	波立ち|波形
rattrap	ネズミ取り[器]|うらぶれた汚い場所
percipient	知覚力(洞察力)のある
chilliness	冷気;寒け
inharmonious	(音が)不調和の|不協和の|感情(気持ち)が合わない|しっくりしない
ideologist	観念論者;空想家
amatory	恋愛の;好色な
corncob	(また『cob』)とうもろこしの穂軸|(また『corncob pipe』)コーンパイプ(火皿がとうもろこしのしんでできている)
eclogue	田園詩|牧歌(対話形式の短詩)
antinomy	二律背反(二つの命題が互いに矛盾すること)
plateful	(食物の)皿1杯分|1皿分《+『of』+『名』》
raffish	(人･行動･風采など)慣習にとらわれない|ルースで奔放な|低俗な
knavery	ごまかし|悪党根性|ふらちな行ない|不正行為
hairiness	毛深さ
impersonally	個人的でなく|個人的感情なしで
militiaman	民兵
vortexed	ボルテックス|渦を巻いた
woebegone	憂いに満ちた|悲しみに沈んだ
ritualist	儀式主義者
sybarite	ぜいたく(快楽)にふける人|快楽主義者
